stage,metric,value,ci_lower,ci_upper,true_positives,false_negatives,false_positives
search,recall,0.9491525423728814,0.9132393739475034,0.9706773444199525,224,12,799
search,precision,0.21896383186705767,0.1946988960846948,0.2453315818390668,224,12,799
abstract,recall_in_search,0.7767857142857143,0.7178484945226767,0.8263892566167114,174,50,179
abstract,recall_all_meta,0.7372881355932204,0.6776582877469268,0.7893165823339934,174,50,179
abstract,precision,0.49291784702549574,0.4411206281089449,0.5448675526412815,174,50,179
fulltext,recall_in_search,0.34210526315789475,0.2453616992261352,0.4540431223205272,26,50,25
fulltext,recall_all_meta,0.11016949152542373,0.07629876021467623,0.15652823893809792,26,50,25
fulltext,precision,0.5098039215686274,0.37680695448409596,0.641427378576938,26,50,25
