id	PositiveTail 1	PositiveTail 2	PositiveTail 3	PositiveTail 4	PositiveTail 5	PositiveTail 6	PositiveTail 7	PositiveTail 8	PositiveTail 9	PositiveTail 10	PositiveTail 11	PositiveTail 12	PositiveTail 13	PositiveTail 14	PositiveTail 15	PositiveTail 16	PositiveTail 17	PositiveTail 18	PositiveTail 19	PositiveTail 20	PositiveTail 21
10022492-10022492_1	0	2	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
10643729-10643729_1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10982749-10982749_1	1	2	2	0	2	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
10982749-10982749_2	4	3	1	1	2	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0
11167061-11167061_1	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
11167061-11167061_2	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11230097-11230097_1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11230097-11230097_2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11231835-11231835_1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12595179-12595179_2	0	2	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
12873752-12873752_1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14642464-14642464_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14683728-14683728_1	1	2	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
15109998-15109998_1	1	1	2	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
15109998-15109998_2	2	4	2	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
15110011-15110011_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15110011-15110011_2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15511653-15511653_1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
15511653-15511653_2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15543553-15543553_1	1	1	2	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
15627588-15627588_1	1	2	3	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15804721-15804721_1	2	1	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
15907308-15907308_1	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15955496-15955496_1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16051547-16051547_1	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
16051547-16051547_2	1	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
16413795-16413795_1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16413795-16413795_2	0	2	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16481440-16481440_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16503328-16503328_1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
16503328-16503328_2	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
16503328-16503328_3	1	0	2	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
16503328-16503328_4	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
16616832-16616832_1	2	2	2	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
16616832-16616832_2	3	2	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
16983390-16983390_1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
16983390-16983390_2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16983390-16983390_3	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17197035-17197035_1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17197035-17197035_2	0	1	2	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17197035-17197035_3	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17462914-17462914_1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
17822681-17822681_1	3	3	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
17822681-17822681_2	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17822681-17822681_3	1	3	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17822681-17822681_4	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17822681-17822681_5	2	3	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17885578-17885578_1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9801381-9801381_1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9801381-9801381_2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
