id	PositiveTail 1	PositiveTail 2	PositiveTail 3	PositiveTail 4	PositiveTail 5	PositiveTail 6	PositiveTail 7	PositiveTail 8	PositiveTail 9	PositiveTail 10	PositiveTail 11
11822992-11822992_1	0	0	0	0	0	0	0	0	0	0	0
14706428-14706428_1	0	0	0	0	0	0	0	0	0	0	0
15607838-15607838_1	0	0	0	0	0	0	0	0	0	0	0
16369836-16369836_1	0	0	0	0	0	0	0	0	0	0	0
17047671-17047671_1	0	0	0	0	0	0	0	0	0	0	0
17088334-17088334_1	0	0	0	0	0	0	0	0	0	0	0
17299505-17299505_1	0	0	0	0	0	0	0	0	0	0	0
17951002-17951002_1	0	0	0	0	0	0	0	0	0	0	0
18165464-18165464_1	0	0	0	0	0	0	0	0	0	0	0
19531112-19531112_1	0	0	0	0	0	0	0	0	0	0	0
19707568-19707568_1	0	0	0	0	0	0	0	0	0	0	0
19775795-19775795_1	0	0	0	0	0	0	0	0	0	0	0
20096794-20096794_1	0	0	0	0	0	0	0	0	0	0	0
20699124-20699124_1	0	0	0	0	0	0	0	0	0	0	0
20731627-20731627_1	0	0	0	0	0	0	0	0	0	0	0
20731627-20731627_2	0	0	0	0	0	0	0	0	0	0	0
20817105-20817105_1	0	0	0	0	0	0	0	0	0	0	0
21281718-21281718_1	0	0	0	0	0	0	0	0	0	0	0
21338692-21338692_1	0	0	0	0	1	0	0	0	0	0	0
21383264-21383264_1	0	0	0	0	0	0	0	0	0	0	0
21599718-21599718_1	0	0	0	0	0	0	0	0	0	0	0
21691942-21691942_1	0	0	0	0	0	0	0	0	0	0	0
22076160-22076160_1	0	0	0	0	0	0	0	0	0	0	0
22270405-22270405_1	0	0	0	0	0	0	0	0	0	0	0
22386968-22386968_1	0	0	0	0	0	0	0	0	0	0	0
22391134-22391134_1	0	0	0	0	0	0	0	0	0	0	0
22445480-22445480_1	0	0	0	0	0	0	0	0	0	0	0
22445480-22445480_2	0	0	0	0	0	0	0	0	0	0	0
22717339-22717339_1	0	0	0	0	0	0	0	0	0	0	0
23072363-23072363_1	0	0	0	0	0	0	0	0	0	0	0
23352851-23352851_1	0	0	0	0	0	0	0	0	0	0	0
23352851-23352851_2	0	0	0	0	0	0	0	0	0	0	0
24086317-24086317_1	0	0	0	0	0	0	0	0	0	0	0
24090712-24090712_1	0	0	0	0	0	0	0	0	0	0	0
24179800-24179800_1	0	0	0	0	0	0	0	0	0	0	0
24179800-24179800_2	1	0	0	0	0	0	0	0	0	0	0
24342420-24342420_1	0	0	0	0	0	0	0	0	0	0	0
24342420-24342420_2	0	0	0	0	0	0	0	0	0	0	0
24496784-24496784_1	0	0	0	0	0	0	0	0	0	0	0
24633558-24633558_1	0	0	0	0	0	0	0	0	0	0	0
24741043-24741043_1	0	0	0	0	0	0	0	0	0	0	0
24832823-24832823_1	0	0	0	0	0	0	0	0	0	0	0
24961260-24961260_1	0	0	0	0	0	0	0	0	0	0	0
25051341-25051341_1	0	0	0	0	0	0	0	0	0	0	0
25090480-25090480_1	0	0	0	0	0	0	0	0	0	0	0
25123156-25123156_1	0	0	0	0	0	0	0	0	0	0	0
25125263-25125263_1	0	0	0	0	0	0	0	0	0	0	0
25727574-25727574_1	0	0	0	0	0	0	0	0	0	0	0
25988724-25988724_1	0	0	0	0	0	0	0	0	0	0	0
27126701-27126701_1	0	0	0	0	0	0	0	0	0	0	0
27500453-27500453_1	0	0	0	0	0	0	0	0	0	0	0
27575491-27575491_1	0	0	0	0	0	0	0	0	0	0	0
28150390-28150390_1	0	0	0	0	0	0	0	0	0	0	0
28720860-28720860_1	0	0	0	0	0	0	0	0	0	0	0
28887180-28887180_1	0	0	0	0	0	0	0	0	0	0	0
28992531-28992531_1	1	0	0	0	0	0	0	0	0	0	0
29065207-29065207_1	0	0	0	0	0	0	0	0	0	0	0
29881337-29881337_1	0	0	0	0	0	0	0	0	0	0	0
29881337-29881337_2	0	0	0	0	0	0	0	0	0	0	0
