Analysis,Correlation (r),R²,Dice (t=0)
Affiliation-Merged,0.6635878014029105,0.4403487701707486,0.451198129748685
Self-Merged,0.6834880556512,0.46715592221785784,0.48414161903005715
Others-Merged,0.854473718466791,0.7301253355504648,0.657776543038385
SocComm-Merged,0.7698280074383854,0.5926351610365548,0.5311300368628448
ALL-Merged,0.8954646748752585,0.8018569839494524,0.6922399046187341
