pmid,table_id,table_label,table_caption,table_foot,n_header_rows,table_raw_file
18391135,1,Table 1,,,1,tables/18391135/1.html
19968401,2,Table 1,,,1,tables/19968401/2.html
19968401,3,Table 2,,,1,tables/19968401/3.html
19968401,4,Table 3,,,1,tables/19968401/4.html
