metric,manual_name,run,pipeline_col,pipeline,all_analyses,all_studies,all_abstract
dice,all,v3-allstudies,dementia_all,0.4359830097087379,0.4239918968490788,0.4564849169220842,0.45519961853569724
dice,all,v4-allstudies,dementia_all,0.5035627962457231,0.43920273617171834,0.4627950735545672,0.4620863293034228
dice,all,v5-allstudies,dementia_all,0.45316871426833716,0.4284206486279025,0.46251979964895756,0.46171314379144335
dice,decrease,v3-allstudies,dementia_decreasing_activity,0.41938674579624136,0.37137524165055663,0.3452455590386625,0.3567695842064073
dice,decrease,v4-allstudies,dementia_decreasing_activity,0.44453415870452606,0.34905765584922493,0.351432618473696,0.3601703940362087
dice,decrease,v5-allstudies,dementia_decreasing_activity,0.39977131422854284,0.3392394983077842,0.35142196014032995,0.36007358234023834
dice,functional,v3-allstudies,functional,0.2886959425613625,0.2548666313372196,0.2645523109649971,0.2681858943925727
dice,functional,v4-allstudies,functional,0.1884272997032641,0.2523192180503936,0.2693026151930262,0.27348520759557204
dice,functional,v5-allstudies,functional,0.13735616562471686,0.24342577097776716,0.2694445887670806,0.27353959566625713
dice,structural,v3-allstudies,structural,0.3274775928297055,0.29054896512414946,0.2692663003841105,0.2784501061571125
dice,structural,v4-allstudies,structural,0.35983542755476483,0.2831717594366031,0.27721221613155833,0.28645204748940467
dice,structural,v5-allstudies,structural,0.32489300998573467,0.28046945531146555,0.27673810768426554,0.2857945921636967
pearson,all,v3-allstudies,dementia_all,0.6705665589143546,0.6264950878720037,0.6808989990894441,0.678656874520215
pearson,all,v4-allstudies,dementia_all,0.7051852144506566,0.6496529591972655,0.6840185507888564,0.682524323670308
pearson,all,v5-allstudies,dementia_all,0.6660163442798628,0.6400282034867623,0.6838572651725989,0.6823229631966815
pearson,decrease,v3-allstudies,dementia_decreasing_activity,0.6521337522855517,0.6159554929189452,0.6532881389372126,0.6530279084692052
pearson,decrease,v4-allstudies,dementia_decreasing_activity,0.658117027445713,0.6207038576736283,0.6511012324589422,0.6503955611580327
pearson,decrease,v5-allstudies,dementia_decreasing_activity,0.6445032411430837,0.6109579146339894,0.6511762765418789,0.6504414194274204
pearson,functional,v3-allstudies,functional,0.5641754142467853,0.4762941736885427,0.5363277343434159,0.5311824260004078
pearson,functional,v4-allstudies,functional,0.5359816340053922,0.4857764002480027,0.5354930871226592,0.5299219081975646
pearson,functional,v5-allstudies,functional,0.48517263489616713,0.47411760616310156,0.5355830927254245,0.5299925465131807
pearson,structural,v3-allstudies,structural,0.5850701313766952,0.5942665104589342,0.6286113848745281,0.6296332062313972
pearson,structural,v4-allstudies,structural,0.6578474594895432,0.6219502995030418,0.6352913767103227,0.6365273341693473
pearson,structural,v5-allstudies,structural,0.6365543418786629,0.6168695522936133,0.6346786488708241,0.6358765430525252
