,global_calculationandvisuospatialandword_mni_final,calculation_mni_final,wordproblems_mni_final,visuospatialreasoning_mni_final,demand_mni_final
domain_general_problem_solving,0.7560528144544822,0.6450758999330054,0.5539157674904281,0.4839182238426981,0.5421474091001988
mathematical_problem_solving,0.683716991300331,0.6813669409897775,0.4852244574373204,0.43534015542613586,0.5101456704686231
verbal_problem_solving,0.5377753046974565,0.476067615658363,0.6252638218383834,0.31134809832511007,0.5159110259684972
visuospatial_problem_solving,0.6186122943888702,0.514828223694346,0.4769968250015564,0.5291670660404486,0.5299425390554857
logical_reasoning,0.6494092268470854,0.5996431403647898,0.5306524485557055,0.45870907906940034,0.6219580159762215
all_analyses,0.7402387867053888,0.6282121807465619,0.5437664896636943,0.47395947511822367,0.5143913669576348
