pmid,project,status,publisher
11697945,problem_solving,text_no_coords,unresolved
15505971,problem_solving,text_no_coords,unresolved
20677377,problem_solving,has_coords,elsevier
9665648,problem_solving,text_no_coords,unresolved
10320379,problem_solving,no_text,
10601743,problem_solving,no_text,direct.mit.edu
10769309,problem_solving,no_text,direct.mit.edu
10903207,problem_solving,no_text,
10931772,problem_solving,no_text,direct.mit.edu
11026450,problem_solving,no_text,onlinelibrary.wiley.com
11050024,problem_solving,no_text,academic.oup.com
11054915,problem_solving,no_text,direct.mit.edu
11671913,problem_solving,no_text,pubs.acs.org
12061757,problem_solving,no_text,unresolved
12427681,problem_solving,no_text,academic.oup.com
12722972,problem_solving,no_text,doi.org
12803967,problem_solving,no_text,direct.mit.edu
15098721,problem_solving,no_text,doi.org
15165354,problem_solving,no_text,direct.mit.edu
16010908,problem_solving,no_text,journals.sagepub.com
16417683,problem_solving,no_text,direct.mit.edu
16512999,problem_solving,no_text,direct.mit.edu
16952916,problem_solving,no_text,pmc
17381255,problem_solving,no_text,direct.mit.edu
18052787,problem_solving,no_text,direct.mit.edu
18240326,problem_solving,no_text,doi.org
18429245,problem_solving,no_text,doi.org
18642473,problem_solving,no_text,unresolved
19003497,problem_solving,no_text,pmc
19406903,problem_solving,no_text,pmc
23448868,problem_solving,no_text,pmc
9175134,problem_solving,no_text,ovid.com
11352615,social,text_no_coords,unresolved
29760183,social,text_no_coords,pmc
29771359,social,text_no_coords,pmc
30154703,social,has_coords,pmc
16838824,vbm_of_ptsd,no_text,journals.sagepub.com
15982446,vbm_of_substance_use,no_text,academic.oup.com
18187528,vbm_of_substance_use,no_text,journals.sagepub.com
20875635,vbm_of_substance_use,text_no_coords,unresolved
21310189,vbm_of_substance_use,has_coords,unresolved
22178355,vbm_of_substance_use,has_coords,unresolved
23142417,vbm_of_substance_use,text_no_coords,unresolved
23149031,vbm_of_substance_use,text_no_coords,unresolved
24793365,vbm_of_substance_use,text_no_coords,unresolved
25385625,vbm_of_substance_use,no_text,pmc
25637267,vbm_of_substance_use,has_coords,unresolved
26094186,vbm_of_substance_use,text_no_coords,unresolved
26364127,vbm_of_substance_use,has_coords,unresolved
27793597,vbm_of_substance_use,text_no_coords,unresolved
