auto_name,v1-annotation-only,v1-annotation-only-gpt5,v1-annotation-only-lc,v2-annotation-only,v3-annotation-only,v4-annotation-only,v5-annotation-only
affiliation_attachment,41,27,29,40,42,37,25
perception_self,33,19,29,34,44,45,31
perception_others,125,76,94,123,134,134,117
social_communication,75,43,51,76,86,71,39
social_processing_all,145,96,137,143,144,144,149
all_abstract,156,154,154,154,156,156,156
all_analyses,156,154,154,154,156,156,156
all_studies,156,154,154,154,156,156,156
