auto_name,v1-annotation-only,v1-annotation-only-gpt5,v1-annotation-only-lc,v2-annotation-only,v3-annotation-only,v4-annotation-only,v5-annotation-only
affiliation_attachment,107,75,85,102,117,80,47
perception_self,73,56,61,77,122,115,64
perception_others,439,250,375,444,484,477,376
social_communication,284,169,215,302,326,231,128
social_processing_all,595,341,580,609,602,595,591
all_abstract,748,746,753,766,766,772,753
all_analyses,748,746,753,766,766,772,753
all_studies,748,746,753,766,766,772,753
