manual_name,auto_name,manual_exists,run::v1-annotation-only,run::v1-annotation-only-gpt5,run::v1-annotation-only-lc,run::v2-annotation-only,run::v3-annotation-only
affiliation_merged,affiliation_attachment,True,True,True,True,True,True
self_merged,perception_self,True,True,True,True,True,True
others_merged,perception_others,True,True,True,True,True,True
soccomm_merged,social_communication,True,True,True,True,True,True
all_merged,social_processing_all,True,True,True,True,True,True
