,affiliation_merged,self_merged,others_merged,soccomm_merged,all_merged
affiliation_attachment,0.3802882380288238,0.35158320233550416,0.3334647221127316,0.2592465987557257,0.3281594327871994
perception_self,0.3223482451443314,0.5056932065333276,0.3680915644365752,0.30507917734410933,0.3882884561632349
perception_others,0.347775572445176,0.37697874265038445,0.6274165537510258,0.5235798394813411,0.7454593975166005
social_communication,0.3690043391579688,0.42178635111039064,0.5882326909034585,0.5547349044383337,0.6864081278651963
social_processing_all,0.3339584569732938,0.4014567742222025,0.6589738770907724,0.5087658592848904,0.7757696003968131
all_analyses,0.30913490623109496,0.38402114250863995,0.628144119646499,0.5142490966375336,0.7933540110378169
all_studies,0.30913490623109496,0.38402114250863995,0.628144119646499,0.5142490966375336,0.7933540110378169
all_abstract,0.30913490623109496,0.38402114250863995,0.628144119646499,0.5142490966375336,0.7933540110378169
