,1_reward_neutral_2020_wbonly,2_drug_neutral_2020_wbonly,3_natural_neutral_2020_wbonly
pooled_cue_reactivity,0.723288183092013,0.43637245392822505,0.5524803018532904
drug_cue_reactivity,0.5089081015385465,0.646709591102935,0.3075758122092814
natural_reward_cue_reactivity,0.6738528396744919,0.33765184522607267,0.6534622582657517
all_analyses,0.7110051357300073,0.419225760625074,0.5417589576547232
all_studies,0.7110051357300073,0.419225760625074,0.5417589576547232
all_abstract,0.7110051357300073,0.419225760625074,0.5417589576547232
