,affiliation_merged,self_merged,others_merged,soccomm_merged,all_merged
affiliation_attachment,0.41575892305792267,0.4956146269059506,0.5273802776990649,0.4416400368304176,0.5772464679974832
perception_self,0.39448290329347596,0.5288125934895648,0.5048507807447103,0.4203242835595777,0.5476525161653079
perception_others,0.36709751341789454,0.44196694460988684,0.6691415878039132,0.5585683129417952,0.7376316387605122
social_communication,0.3678421293371959,0.46488414976348913,0.6508967523024721,0.5927813861711749,0.7212240239921441
social_processing_all,0.36736235340886503,0.45281906761710045,0.6739278009926232,0.5547581807587327,0.7453891194503304
all_analyses,0.3579725654246522,0.44737792545507077,0.6736129664262178,0.561607264061298,0.7549788476287078
all_studies,0.343461698171117,0.43210375610577734,0.6623977132608452,0.5621612393837224,0.7636380781743599
all_abstract,0.34998334998334996,0.4378047729818213,0.6683135093455942,0.5596740044664869,0.7620028502652663
