,affiliation_merged,self_merged,others_merged,soccomm_merged,all_merged
affiliation_attachment,0.41125979017947456,0.4211290238971541,0.45088967971530247,0.38283001716998283,0.48073320009992504
perception_self,0.3046401049352353,0.4066597053022392,0.40220338253647203,0.295689332364149,0.41203163057622366
perception_others,0.30454545454545456,0.3690500951984768,0.6189881743379105,0.5740084985835694,0.721247740630009
social_communication,0.29760276727536,0.36182850758774787,0.5726070346863918,0.5874543541499041,0.6591302370817598
social_processing_all,0.30578607087323023,0.3863482697154097,0.6171471572774218,0.5625600336846538,0.7318592476419783
all_analyses,0.3051406369884258,0.3893129770992366,0.6249935263348697,0.5671669227032208,0.7437819721291233
all_studies,0.29457524846190253,0.3776973895554283,0.5977630241043125,0.5491032476975278,0.7330702739457878
