,Affiliation-Merged,Self-Merged,Others-Merged,SocComm-Merged,ALL-Merged
affiliation_attachment,0.6564888998408721,0.5708449569681701,0.564720250614689,0.5071337248949457,0.6320946560285429
perception_self,0.5108958220374994,0.6570510881534554,0.5667735985443192,0.4260668303204872,0.6087833020355662
perception_others,0.6287949337088404,0.6527345640989944,0.8515296391967594,0.760718392677419,0.8874418784752223
social_communication,0.5728200346288514,0.5875435739774287,0.7125260695909003,0.7734957081155124,0.8041426763917644
social_processing_all,0.640412359821909,0.6856213776777159,0.8582172891936195,0.7480338695460474,0.8951101243189773
all_analyses,0.6218827945182355,0.6710738563888374,0.8487069923918318,0.754942061030353,0.8921135851594061
all_studies,0.6240983666773402,0.6825944205059548,0.8421235816219874,0.7689499726921467,0.8959310289961969
all_abstract,0.6255475937378985,0.6753086503697302,0.846481090406933,0.7594026982082044,0.8932696546136258
