,affiliation_merged,self_merged,others_merged,soccomm_merged,all_merged
affiliation_attachment,0.6533517900233564,0.6613612733304738,0.7109872549205104,0.6179806860174967,0.7649503937009952
perception_self,0.5777359856871119,0.6756362176711941,0.6871547364323922,0.5680040880077205,0.728660191549714
perception_others,0.590903127656487,0.6326935418546946,0.8242449990400548,0.7883446691381315,0.8780596942591201
social_communication,0.5730215945086654,0.6143834412818576,0.7889341406369921,0.8014467151252921,0.8568715151669196
social_processing_all,0.6051801752468775,0.6529920882140583,0.8322086550979011,0.7837501991025566,0.8855859314494646
all_analyses,0.6030580774815689,0.655025727251624,0.833763118748328,0.7892325994583338,0.8899097162877371
all_studies,0.6031644671252994,0.6702539886382369,0.8195198683070698,0.7879017252744793,0.8845728421574804
all_abstract,0.6074764204172901,0.6640096512115057,0.8287279295720806,0.7888055700921126,0.8885837719811711
