,Affiliation-Merged,Self-Merged,Others-Merged,SocComm-Merged,ALL-Merged
affiliation_attachment,0.2188781170115275,0.22456907016266084,0.17345826977555023,0.20596570979599854,0.18668792347548824
perception_self,0.2317137160247665,0.3284864794478927,0.18597482661186746,0.15982568753312526,0.1879393876919905
perception_others,0.38325501490576525,0.40240571126873725,0.6529760083511816,0.554491061924164,0.6589983919801823
social_communication,0.25486333415414925,0.29350955606131235,0.43538902758578,0.5270931802835922,0.49002987002502624
social_processing_all,0.38168195269376876,0.47168203300534595,0.678181875333983,0.5780243321449697,0.7487482813189094
all_analyses,0.3603889660646954,0.452373507936216,0.6800464072081845,0.5887217814806873,0.7674887583451282
all_studies,0.3603889660646954,0.452373507936216,0.6800464072081845,0.5887217814806873,0.7674887583451282
all_abstract,0.3603889660646954,0.452373507936216,0.6800464072081845,0.5887217814806873,0.7674887583451282
