auto_name,v1-annotation-only,v1-annotation-only-gpt5,v1-annotation-only-lc,v2,v2-all_pmids,v2-annotation-only,v3-all_pmids,v3-all_pmids-multi_analysis,v3-all_pmids-multi_analysis-ft,v3-all_pmids-multi_analysis-ft-gpt52,v3-annotation-only,v3-search-all_pmids,v3-search-all_pmids-multi_analysis,v3-search-all_pmids-multi_analysis-ft
affiliation_attachment,99.0,75.0,85.0,129.0,121.0,102.0,119.0,111.0,146.0,62.0,42.0,298.0,319.0,358.0
perception_self,73.0,56.0,61.0,137.0,102.0,77.0,104.0,98.0,151.0,77.0,63.0,312.0,285.0,343.0
perception_others,435.0,250.0,375.0,885.0,552.0,444.0,553.0,593.0,567.0,272.0,367.0,1538.0,1598.0,1515.0
social_communication,284.0,169.0,215.0,504.0,321.0,302.0,324.0,338.0,355.0,145.0,130.0,830.0,854.0,934.0
social_processing_all,591.0,341.0,580.0,1025.0,687.0,609.0,699.0,690.0,684.0,321.0,587.0,1793.0,1872.0,1754.0
all_abstract,742.0,746.0,753.0,,,766.0,979.0,942.0,974.0,1005.0,744.0,2981.0,3030.0,2936.0
all_analyses,742.0,746.0,753.0,1733.0,929.0,766.0,970.0,930.0,958.0,993.0,744.0,2853.0,2906.0,2803.0
all_studies,742.0,746.0,753.0,,,766.0,1034.0,997.0,1029.0,1060.0,744.0,3280.0,3329.0,3235.0
