manual_name,auto_name,manual_exists,run::v1-annotation-only,run::v1-annotation-only-gpt5,run::v1-annotation-only-lc,run::v2,run::v2-all_pmids,run::v2-annotation-only,run::v3-all_pmids,run::v3-all_pmids-multi_analysis,run::v3-all_pmids-multi_analysis-ft,run::v3-all_pmids-multi_analysis-ft-gpt52,run::v3-annotation-only,run::v3-search-all_pmids,run::v3-search-all_pmids-multi_analysis,run::v3-search-all_pmids-multi_analysis-ft
Affiliation-Merged,affiliation_attachment,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Self-Merged,perception_self,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Others-Merged,perception_others,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
SocComm-Merged,social_communication,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ALL-Merged,social_processing_all,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
