manual_name,auto_name,manual_exists,run::v1,run::v2,run::v2-annotation-only
adm_july2019,ambiguous_dm,True,True,True,True
rdm_july2019,risky_dm,True,True,True,True
perceptual_dm_july2019,perceptual_dm,True,True,True,True
