id	PositiveTail 1	PositiveTail 2	PositiveTail 3	PositiveTail 4	PositiveTail 5	PositiveTail 6	PositiveTail 7	PositiveTail 8	PositiveTail 9	PositiveTail 10	PositiveTail 11	PositiveTail 12	PositiveTail 13	PositiveTail 14	PositiveTail 15	PositiveTail 16	PositiveTail 17	PositiveTail 18	PositiveTail 19	PositiveTail 20
10678698-10678698_1	0	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
11050024-11050024_1	0	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11050024-11050024_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11050024-11050024_3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11832233-11832233_1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11832233-11832233_2	1	3	2	1	2	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0
12112763-12112763_1	2	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
12112763-12112763_2	1	1	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0
12873752-12873752_1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12873752-12873752_2	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
12875920-12875920_1	0	2	1	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
14622587-14622587_1	1	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
14622587-14622587_2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14659499-14659499_1	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
14741309-14741309_1	0	2	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0
14741309-14741309_2	0	1	1	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0
14741309-14741309_3	0	1	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
15006652-15006652_1	1	5	1	3	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0
15528119-15528119_1	2	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15543553-15543553_1	1	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15722210-15722210_1	1	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
15722210-15722210_2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
15722210-15722210_3	0	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15722210-15722210_4	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15722210-15722210_5	1	1	2	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
15722210-15722210_6	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
16413795-16413795_1	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
16413795-16413795_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16413795-16413795_3	0	2	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0
16769743-16769743_1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
17822681-17822681_1	2	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
17822681-17822681_2	1	1	1	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0
17822681-17822681_3	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
17822681-17822681_4	2	2	3	2	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0
17851092-17851092_1	2	3	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
18022606-18022606_1	2	2	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
18022606-18022606_2	2	1	3	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
18022606-18022606_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18022606-18022606_4	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0
18406434-18406434_1	0	2	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21073958-21073958_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21616086-21616086_1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21616086-21616086_2	0	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21616086-21616086_3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21616086-21616086_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21616086-21616086_5	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21616086-21616086_6	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21616086-21616086_7	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21782157-21782157_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21782157-21782157_2	1	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21782157-21782157_3	1	2	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
