,all_drug_classes,alcohol,nicotine,opioids,stimulants,cannabis
all_drug_classes,0.44412418182909985,0.3058255773871079,0.2174459527400704,0.03967144355120587,0.26125776397515527,0.14718100890207717
alcohol,0.32846207376478775,0.4748517461014716,0.04101951413779371,0.01604076240800151,0.10130047912388775,0.0827924647775843
nicotine,0.12047808764940239,0.009998077292828303,0.3453298331780845,0.0010897697861326796,0.04668369593939928,0.04628345952863389
opioids,0.08317312556915916,0.054040077569489336,0.04703565959308685,0.1951219512195122,0.06608335252129864,0.048286140089418776
stimulants,0.2651114922813036,0.08771223947855476,0.03917883475495157,0.058509502455690796,0.5157721632531022,0.08805472724083493
cannabis,0.08102136017677387,0.12404134711570523,0.0,0.006128702757916241,0.001151244783422075,0.15805348883973458
all_analyses,0.35295711672650903,0.20720391612478994,0.19151523574580454,0.043762596141981656,0.2510150044130627,0.11036471972370868
all_studies,0.3300377260309614,0.21986013986013986,0.15256440163961743,0.05693253455499432,0.25386619742140704,0.11111514052583862
all_abstract,0.34657940898664147,0.21479487925516438,0.1775594228972771,0.04984653161448742,0.25099307484093225,0.11763817007290998
