auto_name,v1,v2,v2-annotation-only-gpt,v2-recent
all_drug_classes,84,86,89,101
alcohol,24,24,24,35
nicotine,20,22,31,19
opioids,9,9,8,11
stimulants,21,21,22,25
cannabis,10,8,4,9
all_abstract,326,306,198,416
all_analyses,300,279,197,385
all_studies,427,406,202,573
