project_name,selected_run_dir,manual_analyses_total,accepted,uncertain,unmatched,matched_count,manual_matched_pct,table_only_baseline_available,table_only_baseline_accepted,table_only_baseline_uncertain,table_only_baseline_unmatched,table_only_baseline_matched_count,table_only_baseline_manual_analyses_total,table_only_baseline_matched_pct,table_only_baseline_table_units,table_only_baseline_coordinate_rows,table_only_baseline_source
<<<<<<< Updated upstream
cue_reactivity,/home/zorro/repos/autonima-results/projects/cue_reactivity/v5-annotation-only-gpt,209,144,6,59,150,0.717703,1,78,15,115,93,208,0.447115,296,5354,/home/zorro/repos/autonima-results/projects/cue_reactivity/v5-annotation-only-gpt/outputs/coordinate_parsing_results.json
decision_making,/home/zorro/repos/autonima-results/projects/decision_making/v2-annotation-only,89,56,3,30,59,0.662921,1,3,0,12,3,15,0.200000,129,2447,/home/zorro/repos/autonima-results/projects/decision_making/v2-annotation-only/retrieval/pubget_data
dementia,/home/zorro/repos/autonima-results/projects/dementia/v3-annotation-only,11,4,2,5,6,0.545455,1,1,1,9,2,11,0.181818,78,1290,/home/zorro/repos/autonima-results/projects/dementia/v3-annotation-only/outputs/coordinate_parsing_results.json
problem_solving,/home/zorro/repos/autonima-results/projects/problem_solving/v1-annotation-only,142,92,4,46,96,0.676056,1,27,5,110,32,142,0.225352,154,3059,/home/zorro/repos/autonima-results/projects/problem_solving/v1-annotation-only/outputs/coordinate_parsing_results.json
social,/home/zorro/repos/autonima-results/projects/social/v3-annotation-only,578,462,10,106,472,0.816609,1,118,51,407,169,576,0.293403,316,5306,/home/zorro/repos/autonima-results/projects/social/v3-annotation-only/outputs/coordinate_parsing_results.json
vbm_of_ptsd,/home/zorro/repos/autonima-results/projects/vbm_of_ptsd/v1-annotation-only,11,10,0,1,10,0.909091,1,7,0,4,7,11,0.636364,21,227,/home/zorro/repos/autonima-results/projects/vbm_of_ptsd/v1-annotation-only/outputs/coordinate_parsing_results.json
vbm_of_substance_use,/home/zorro/repos/autonima-results/projects/vbm_of_substance_use/v2-annotation-only-gpt,60,43,2,15,45,0.750000,1,23,2,34,25,59,0.423729,80,851,/home/zorro/repos/autonima-results/projects/vbm_of_substance_use/v2-annotation-only-gpt/outputs/coordinate_parsing_results.json
=======
cue_reactivity,/home/zorro/repos/autonima-results/projects/cue_reactivity/v5-annotation-only-gpt,184,170,7,7,177,0.961957,1,81,16,112,97,209,0.464115,298,5562,/home/zorro/repos/autonima-results/projects/cue_reactivity/v5-annotation-only-gpt/outputs/coordinate_parsing_results.json
decision_making,/home/zorro/repos/autonima-results/projects/decision_making/v2-annotation-only,29,29,0,0,29,1.000000,1,0,0,5,0,5,0.000000,129,2447,/home/zorro/repos/autonima-results/projects/decision_making/v2-annotation-only/retrieval/pubget_data
dementia,/home/zorro/repos/autonima-results/projects/dementia/v3-annotation-only,9,7,2,0,9,1.000000,1,1,1,9,2,11,0.181818,78,1290,/home/zorro/repos/autonima-results/projects/dementia/v3-annotation-only/outputs/coordinate_parsing_results.json
problem_solving,/home/zorro/repos/autonima-results/projects/problem_solving/v1-annotation-only,140,128,7,5,135,0.964286,1,37,9,96,46,142,0.323944,154,3074,/home/zorro/repos/autonima-results/projects/problem_solving/v1-annotation-only/outputs/coordinate_parsing_results.json
social,/home/zorro/repos/autonima-results/projects/social/v3-annotation-only,520,477,10,33,487,0.936538,1,117,52,407,169,576,0.293403,321,5368,/home/zorro/repos/autonima-results/projects/social/v3-annotation-only/outputs/coordinate_parsing_results.json
vbm_of_ptsd,/home/zorro/repos/autonima-results/projects/vbm_of_ptsd/v1-annotation-only,10,10,0,0,10,1.000000,1,7,0,4,7,11,0.636364,21,227,/home/zorro/repos/autonima-results/projects/vbm_of_ptsd/v1-annotation-only/outputs/coordinate_parsing_results.json
vbm_of_substance_use,/home/zorro/repos/autonima-results/projects/vbm_of_substance_use/v2-annotation-only-gpt,52,51,1,0,52,1.000000,1,24,2,33,26,59,0.440678,80,851,/home/zorro/repos/autonima-results/projects/vbm_of_substance_use/v2-annotation-only-gpt/outputs/coordinate_parsing_results.json
>>>>>>> Stashed changes
