,all,decrease,functional,structural
dementia_all,0.7677006086108584,0.7298680296471601,0.678321160642672,0.7292816266532851
dementia_decreasing_activity,0.7594539326082484,0.7134537256216575,0.652702503778293,0.7096236095268026
functional,0.6180653851021698,0.6159508536851932,0.7654040758093668,0.5062515954804047
structural,0.6203665743792518,0.5738758572610623,0.414592023209658,0.6470883550736509
all_analyses,0.6579431880473533,0.6319875341958168,0.5712587775472195,0.6263510386052328
all_studies,0.6579431880473533,0.6319875341958168,0.5712587775472195,0.6263510386052328
all_abstract,0.6579431880473533,0.6319875341958168,0.5712587775472195,0.6263510386052328
