project,run,stage,n_included,n_gold,tp,precision,recall
dementia,v5-allstudies,search,558,74,74,0.132616,1.0
dementia,v5-allstudies,abstract,347,74,73,0.210375,0.986486
dementia,v5-allstudies,fulltext,157,74,67,0.426752,0.905405
dementia,v5-allstudies,annotation,50,74,32,0.64,0.432432
emotion_regulation_2022,v4-allstudies,search,274,88,56,0.20438,0.636364
emotion_regulation_2022,v4-allstudies,abstract,203,88,56,0.275862,0.636364
emotion_regulation_2022,v4-allstudies,fulltext,147,88,53,0.360544,0.602273
emotion_regulation_2022,v4-allstudies,annotation,78,88,40,0.512821,0.454545
social,v3-allstudies,search,486,238,238,0.489712,1.0
social,v3-allstudies,abstract,375,238,237,0.632,0.995798
social,v3-allstudies,fulltext,337,238,231,0.68546,0.970588
social,v3-allstudies,annotation,177,238,145,0.819209,0.609244
