pmid,projects,tier,year,route,p_tables,already_tried,next_action
25511791,dementia,gold,2015,other,0.747,elsevier-skipped,manual: publisher html
25997918,emotion_regulation_2022,gold,2015,unknown,0.747,html-saved-no-tables,manual: re-save (current copy lacks tables)
26859768,dementia,gold,2016,other,0.747,elsevier-skipped,manual: publisher html
27819447,emotion_regulation_2022,gold,2017,other,0.747,nothing,manual: publisher html
28045309,emotion_regulation_2022,gold,2017,other,0.747,nothing,manual: publisher html
29760183,social,gold,2018,unknown,0.747,html-saved-no-tables,manual: re-save (current copy lacks tables)
29771359,decision_making;social,gold,2018,unknown,0.747,html-saved-no-tables,manual: re-save (current copy lacks tables)
31305099,emotion_regulation_2022,gold,2019,no-link,0.747,nothing,manual: resolve doi first
20805539,decision_making,gold,2010,no-link,0.727,nothing,manual: resolve doi first
21534685,decision_making,gold,2011,pmc,0.727,nothing,manual: pmc via browser
21712804,cue_reactivity;emotion_regulation_2022,gold,2012,unknown,0.727,html-saved-no-tables,manual: re-save (current copy lacks tables)
21998031,emotion_regulation_2022,gold,2012,unknown,0.727,html-saved-no-tables,manual: re-save (current copy lacks tables)
23142417,vbm_of_substance_use,gold,2012,elsevier,0.727,elsevier-success;text-only,manual: publisher html
23448868,problem_solving,gold,2014,pmc,0.727,nothing,manual: pmc via browser
25385625,vbm_of_substance_use,gold,2014,pmc,0.727,nothing,manual: pmc via browser
15563726,executive_function,gold,2005,other,0.634,nothing,manual: publisher html
15741464,executive_function,gold,2005,other,0.634,nothing,manual: publisher html
15841676,executive_function,gold,2005,no-link,0.634,nothing,manual: resolve doi first
15982446,vbm_of_substance_use,gold,2006,other,0.634,nothing,manual: publisher html
16167185,cue_reactivity,gold,2005,unknown,0.634,html-saved-no-tables,manual: re-save (current copy lacks tables)
16199829,executive_function,gold,2005,other,0.634,nothing,manual: publisher html
16417683,problem_solving,gold,2006,other,0.634,nothing,manual: publisher html
16512999,executive_function;problem_solving,gold,2006,other,0.634,nothing,manual: publisher html
16534207,dementia,gold,2006,other,0.634,elsevier-skipped,manual: publisher html
16838824,vbm_of_ptsd,gold,2006,other,0.634,nothing,manual: publisher html
16952916,executive_function;problem_solving,gold,2007,pmc,0.634,nothing,manual: pmc via browser
17133387,executive_function,gold,2007,pmc,0.634,nothing,manual: pmc via browser
17214564,executive_function,gold,2007,other,0.634,nothing,manual: publisher html
17381255,executive_function;problem_solving,gold,2007,other,0.634,nothing,manual: publisher html
17469913,cue_reactivity,gold,2007,other,0.634,nothing,manual: publisher html
17476364,executive_function,gold,2007,pmc,0.634,nothing,manual: pmc via browser
17483530,executive_function,gold,2008,pmc,0.634,nothing,manual: pmc via browser
17488204,emotion_regulation_2022,gold,2007,unknown,0.634,html-saved-no-tables,manual: re-save (current copy lacks tables)
17525987,executive_function;problem_solving,gold,2008,pmc,0.634,nothing,manual: pmc via browser
18052787,problem_solving,gold,2008,other,0.634,nothing,manual: publisher html
18187528,vbm_of_substance_use,gold,2008,other,0.634,nothing,manual: publisher html
18240326,problem_solving,gold,2008,other,0.634,nothing,manual: publisher html
18363509,executive_function,gold,2008,other,0.634,nothing,manual: publisher html
18370596,executive_function,gold,2008,other,0.634,nothing,manual: publisher html
18511955,executive_function,gold,2008,other,0.634,nothing,manual: publisher html
18572984,decision_making,gold,2008,other,0.634,nothing,manual: publisher html
19003497,problem_solving,gold,2007,pmc,0.634,nothing,manual: pmc via browser
19406903,problem_solving,gold,2009,pmc,0.634,nothing,manual: pmc via browser
19587274,decision_making,gold,2009,pmc,0.634,nothing,manual: pmc via browser
19897796,decision_making,gold,2009,no-link,0.634,nothing,manual: resolve doi first
10769309,problem_solving,gold,2000,other,0.524,nothing,manual: publisher html
10769312,executive_function,gold,2000,other,0.524,nothing,manual: publisher html
10790322,problem_solving,gold,2000,elsevier,0.524,elsevier-success,manual: publisher html
10806026,executive_function,gold,2000,elsevier,0.524,elsevier-success,manual: publisher html
10903207,problem_solving,gold,2000,other,0.524,nothing,manual: publisher html
10931772,problem_solving,gold,2000,other,0.524,nothing,manual: publisher html
10988030,problem_solving,gold,2000,elsevier,0.524,elsevier-success,manual: publisher html
11002353,executive_function,gold,2000,other,0.524,nothing,manual: publisher html
11026450,problem_solving,gold,2000,other,0.524,nothing,manual: publisher html
11034858,problem_solving,gold,2000,elsevier,0.524,elsevier-success,manual: publisher html
11034863,executive_function;problem_solving,gold,2000,elsevier,0.524,elsevier-success,manual: publisher html
11050024,problem_solving,gold,2000,other,0.524,nothing,manual: publisher html
11054915,problem_solving,gold,2000,other,0.524,nothing,manual: publisher html
11069306,executive_function,gold,2000,pmc,0.524,nothing,manual: pmc via browser
11113037,executive_function,gold,2001,other,0.524,nothing,manual: publisher html
11133306,executive_function,gold,2001,elsevier,0.524,elsevier-success,manual: publisher html
11133312,decision_making,gold,2001,elsevier,0.524,elsevier-skipped,manual: publisher html
11162266,executive_function,gold,2001,elsevier,0.524,elsevier-skipped,manual: publisher html
11162272,problem_solving,gold,2001,elsevier,0.524,elsevier-success,manual: publisher html
11189943,executive_function,gold,2000,other,0.524,nothing,manual: publisher html
11241873,executive_function,gold,2001,pmc,0.524,nothing,manual: pmc via browser
11352615,social,gold,2001,elsevier,0.524,elsevier-success,manual: publisher html
11515754,cue_reactivity,gold,2001,unknown,0.524,html-saved-no-tables,manual: re-save (current copy lacks tables)
11549754,cue_reactivity;emotion_regulation_2022,gold,2001,unknown,0.524,html-saved-no-tables,manual: re-save (current copy lacks tables)
11554517,executive_function,gold,2001,other,0.524,nothing,manual: publisher html
11571223,executive_function,gold,2001,other,0.524,nothing,manual: publisher html
11697945,problem_solving,gold,2001,elsevier,0.524,elsevier-success,manual: publisher html
11697946,executive_function,gold,2001,elsevier,0.524,elsevier-success,manual: publisher html
11702561,executive_function,gold,2001,elsevier,0.524,elsevier-success;text-only,manual: publisher html
11707086,executive_function,gold,2001,elsevier,0.524,elsevier-success,manual: publisher html
11713630,executive_function,gold,2001,other,0.524,nothing,manual: publisher html
11733725,executive_function,gold,2001,other,0.524,nothing,manual: publisher html
11771973,executive_function,gold,2002,elsevier,0.524,elsevier-skipped,manual: publisher html
11848715,executive_function,gold,2002,elsevier,0.524,elsevier-skipped,manual: publisher html
11906224,decision_making,gold,2002,elsevier,0.524,elsevier-skipped,manual: publisher html
11906228,executive_function,gold,2002,elsevier,0.524,elsevier-skipped,manual: publisher html
12061757,problem_solving,gold,2002,no-link,0.524,nothing,manual: resolve doi first
12126506,executive_function,gold,2002,other,0.524,nothing,manual: publisher html
12139955,executive_function,gold,2002,elsevier,0.524,elsevier-success,manual: publisher html
12240737,executive_function,gold,2002,no-link,0.524,nothing,manual: resolve doi first
12377154,executive_function,gold,2002,elsevier,0.524,elsevier-success,manual: publisher html
12414261,executive_function,gold,2002,elsevier,0.524,elsevier-success,manual: publisher html
12427681,problem_solving,gold,2002,other,0.524,nothing,manual: publisher html
12495527,emotion_regulation_2022;executive_function,gold,2002,other,0.524,nothing,manual: publisher html
12498755,executive_function,gold,2002,elsevier,0.524,elsevier-success,manual: publisher html
12507442,executive_function,gold,2003,elsevier,0.524,elsevier-success;text-only,manual: publisher html
12631562,executive_function,gold,2003,other,0.524,nothing,manual: publisher html
12722972,problem_solving,gold,2003,other,0.524,nothing,manual: publisher html
12727696,executive_function,gold,2003,other,0.524,nothing,manual: publisher html
12803967,problem_solving,gold,2003,other,0.524,nothing,manual: publisher html
12946085,executive_function,gold,2003,no-link,0.524,nothing,manual: resolve doi first
14674880,executive_function,gold,2003,unknown,0.524,html-saved-no-tables,manual: re-save (current copy lacks tables)
14700259,decision_making;executive_function,gold,2003,other,0.524,nothing,manual: publisher html
15056518,executive_function,gold,2004,other,0.524,nothing,manual: publisher html
15084791,dementia,gold,2004,other,0.524,elsevier-skipped,manual: publisher html
15098721,problem_solving,gold,2004,other,0.524,nothing,manual: publisher html
15165351,executive_function,gold,2004,other,0.524,nothing,manual: publisher html
15165354,problem_solving,gold,2004,other,0.524,nothing,manual: publisher html
15200705,executive_function,gold,2004,other,0.524,nothing,manual: publisher html
15309395,executive_function,gold,2004,other,0.524,nothing,manual: publisher html
15465974,cue_reactivity,gold,2004,unknown,0.524,html-saved-no-tables,manual: re-save (current copy lacks tables)
15505971,problem_solving,gold,2004,elsevier,0.524,elsevier-success,manual: publisher html
15541071,executive_function,gold,2004,other,0.524,nothing,manual: publisher html
16010908,problem_solving,gold,2001,other,0.524,nothing,manual: publisher html
18429245,problem_solving,gold,2003,other,0.524,nothing,manual: publisher html
18642473,problem_solving,gold,2001,no-link,0.524,nothing,manual: resolve doi first
10320379,problem_solving,gold,1999,other,0.37,nothing,manual: publisher html
10349294,executive_function,gold,1999,no-link,0.37,nothing,manual: resolve doi first
10511450,executive_function,gold,1999,other,0.37,nothing,manual: publisher html
10574350,executive_function,gold,1999,other,0.37,nothing,manual: publisher html
10600415,executive_function,gold,1999,elsevier,0.37,elsevier-success;text-only,manual: publisher html
10601743,problem_solving,gold,1999,other,0.37,nothing,manual: publisher html
11671913,problem_solving,gold,1997,other,0.37,nothing,manual: publisher html
23968211,executive_function,gold,1997,other,0.37,nothing,manual: publisher html
7708745,executive_function,gold,1995,pmc,0.37,nothing,manual: pmc via browser
7846080,executive_function,gold,1995,pmc,0.37,nothing,manual: pmc via browser
8524452,executive_function,gold,1995,elsevier,0.37,elsevier-success,manual: publisher html
8670634,executive_function,gold,1996,other,0.37,nothing,manual: publisher html
8822570,executive_function,gold,1996,other,0.37,nothing,manual: publisher html
8931588,executive_function,gold,1996,other,0.37,nothing,manual: publisher html
9038284,executive_function,gold,1997,elsevier,0.37,elsevier-success,manual: publisher html
9121583,executive_function,gold,1997,other,0.37,nothing,manual: publisher html
9175134,problem_solving,gold,1997,other,0.37,nothing,manual: publisher html
9187292,executive_function,gold,1997,other,0.37,nothing,manual: publisher html
9223090,executive_function;problem_solving,gold,1997,other,0.37,nothing,manual: publisher html
9299382,executive_function,gold,1997,elsevier,0.37,elsevier-success,manual: publisher html
9305814,executive_function,gold,1997,other,0.37,nothing,manual: publisher html
9343594,executive_function,gold,1995,elsevier,0.37,elsevier-success,manual: publisher html
9343611,executive_function,gold,1995,elsevier,0.37,elsevier-success,manual: publisher html
9345478,executive_function,gold,1996,elsevier,0.37,elsevier-success,manual: publisher html
9626670,executive_function,gold,1998,elsevier,0.37,elsevier-success,manual: publisher html
9665648,problem_solving,gold,1998,elsevier,0.37,elsevier-success,manual: publisher html
9704265,executive_function,gold,1998,unknown,0.37,html-saved-no-tables,manual: re-save (current copy lacks tables)
9758739,executive_function,gold,1998,elsevier,0.37,elsevier-success,manual: publisher html
9863701,executive_function,gold,1998,other,0.37,nothing,manual: publisher html
9927550,executive_function,gold,1999,unknown,0.37,elsevier-success;html-saved-no-tables,manual: re-save (current copy lacks tables)
1679944,executive_function,gold,1991,other,0.197,nothing,manual: publisher html
