project,run,stage,n_included,n_gold,tp,precision,recall
cue_reactivity,v6,search,1940,191,178,0.091753,0.931937
cue_reactivity,v6,abstract,1036,191,174,0.167954,0.910995
cue_reactivity,v6,fulltext,657,191,163,0.248097,0.853403
cue_reactivity,v6,annotation,422,191,128,0.303318,0.670157
decision_making,v3,search,769,153,92,0.119636,0.601307
decision_making,v3,abstract,581,153,92,0.158348,0.601307
decision_making,v3,fulltext,389,153,85,0.218509,0.555556
decision_making,v3,annotation,219,153,57,0.260274,0.372549
dementia,v3,search,2027,74,71,0.035027,0.959459
dementia,v3,abstract,518,74,70,0.135135,0.945946
dementia,v3,fulltext,157,74,63,0.401274,0.851351
dementia,v3,annotation,46,74,28,0.608696,0.378378
emotion_regulation_2022,v4,search,1264,88,79,0.0625,0.897727
emotion_regulation_2022,v4,abstract,560,88,79,0.141071,0.897727
emotion_regulation_2022,v4,fulltext,305,88,73,0.239344,0.829545
emotion_regulation_2022,v4,annotation,146,88,54,0.369863,0.613636
executive_function,v3,search,4881,171,127,0.026019,0.74269
executive_function,v3,abstract,1307,171,112,0.085692,0.654971
executive_function,v3,fulltext,706,171,67,0.094901,0.391813
executive_function,v3,annotation,429,171,54,0.125874,0.315789
problem_solving,v2,search,9999,126,111,0.011101,0.880952
problem_solving,v2,abstract,705,126,105,0.148936,0.833333
problem_solving,v2,fulltext,266,126,73,0.274436,0.579365
problem_solving,v2,annotation,196,126,63,0.321429,0.5
social,v3,search,1024,238,226,0.220703,0.94958
social,v3,abstract,691,238,225,0.325615,0.945378
social,v3,fulltext,544,238,221,0.40625,0.928571
social,v3,annotation,271,238,139,0.512915,0.584034
vbm_of_ptsd,v1,search,73,21,18,0.246575,0.857143
vbm_of_ptsd,v1,abstract,52,21,18,0.346154,0.857143
vbm_of_ptsd,v1,fulltext,27,21,16,0.592593,0.761905
vbm_of_ptsd,v1,annotation,7,21,6,0.857143,0.285714
vbm_of_substance_use,v2,search,647,79,71,0.109737,0.898734
vbm_of_substance_use,v2,abstract,260,79,67,0.257692,0.848101
vbm_of_substance_use,v2,fulltext,145,79,63,0.434483,0.797468
vbm_of_substance_use,v2,annotation,54,79,47,0.87037,0.594937
