comparison,metric,n_columns,n_projects,autonima_mean,baseline_mean,mean_delta,median_delta,ci_low,ci_high,columns_ahead,columns_tied,columns_behind,sign_test_p,bootstrap,resamples,seed
best_available,r2,28,8,0.6055,0.4915,0.114,0.0704,0.0518,0.2008,26,0,2,3.032e-06,cluster over projects,20000,0
strongest,r2,28,8,0.6055,0.4983,0.1072,0.0612,0.044,0.1955,25,0,3,2.744e-05,cluster over projects,20000,0
