id	PositiveTail 1	PositiveTail 2	PositiveTail 3	PositiveTail 4	PositiveTail 5	PositiveTail 6	PositiveTail 7	PositiveTail 8	PositiveTail 9	PositiveTail 10	PositiveTail 11	PositiveTail 12	PositiveTail 13	PositiveTail 14	PositiveTail 15	PositiveTail 16	PositiveTail 17	PositiveTail 18	PositiveTail 19	PositiveTail 20	PositiveTail 21
17822681-17822681_1	2	2	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
17822681-17822681_2	1	2	2	1	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0
17822681-17822681_3	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17822681-17822681_4	2	6	1	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17851092-17851092_1	2	2	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17904384-17904384_1	0	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18022606-18022606_1	2	4	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
18022606-18022606_2	2	2	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18022606-18022606_3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18022606-18022606_4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
18095280-18095280_1	1	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
18279364-18279364_1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18279364-18279364_2	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18279364-18279364_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18279364-18279364_4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18406434-18406434_1	0	4	1	1	1	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
18760263-18760263_1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18835075-18835075_1	2	3	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
18835284-18835284_1	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18835284-18835284_2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18996100-18996100_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18996100-18996100_2	1	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19505444-19505444_1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19505444-19505444_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19505444-19505444_3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
19523967-19523967_1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19549622-19549622_1	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19656506-19656506_1	0	5	2	0	0	0	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0
19683063-19683063_1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20183185-20183185_1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20183185-20183185_2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
