manual_name,auto_name,manual_exists,run::v3
affiliation_merged,affiliation_attachment,True,True
self_merged,perception_self,True,True
others_merged,perception_others,True,True
soccomm_merged,social_communication,True,True
all_merged,social_processing_all,True,True
