,all,working_memory,inhibition,flexibility
pooled_executive_function,0.7464113665467407,0.6641596377166616,0.5188124068966534,0.2776674428160526
working_memory,0.7689639314105512,0.708132871853054,0.5419715397909903,0.30100156136943523
inhibition,0.6754791387333386,0.6134467068393036,0.6165728338854901,0.32199557877813506
cognitive_flexibility,0.4955804245144347,0.4852634178096029,0.4532840967715659,0.3962676775040093
all_analyses,0.72259567775383,0.6327037209712579,0.5020588769000991,0.2672856959259735
all_studies,0.6952048667024513,0.604122965641953,0.48161637644556693,0.251074623691845
all_abstract,0.7234295435742668,0.6322515596445901,0.5038184991273996,0.2667116595963491
