run,manual_name,auto_name,n_analyses,n_unique_pmids,is_mapped
v4,decrease,decrease,214,83,True
v4,increase,increase,42,19,True
v4,maintain,maintain,145,58,True
v4,reappraisal,reappraisal,217,77,True
v4,,all_abstract,846,188,False
v4,,all_analyses,749,131,False
v4,,all_studies,1035,302,False
