project,arm,tp,fp,fn,precision,recall,f1,n_included,n_common
cue_reactivity,v5-gpt-A1-mini,135,285,5,0.3214,0.9643,0.4821,420,542
cue_reactivity,v5-gpt-A2F-mini,126,264,14,0.3231,0.9,0.4755,390,542
cue_reactivity,v5-gpt-record-with-evidence,130,265,10,0.3291,0.9286,0.486,395,542
cue_reactivity,v5-gpt-record-no-evidence,130,251,10,0.3412,0.9286,0.499,381,542
