id	PositiveTail 1	PositiveTail 2	PositiveTail 3	PositiveTail 4	PositiveTail 5	PositiveTail 6	PositiveTail 7	PositiveTail 8	PositiveTail 9	PositiveTail 10	PositiveTail 11
18851716-18851716_analysis_0	1	0	0	0	0	0	0	0	0	0	0
18851716-18851716_analysis_1	4	0	0	0	0	0	0	0	0	0	0
19028527-19028527_analysis_0	7	0	0	0	0	0	0	0	0	0	0
19028527-19028527_analysis_1	5	0	0	0	0	0	0	0	0	0	0
19135471-19135471_analysis_0	5	0	0	0	0	0	0	0	0	0	0
19365394-19365394_analysis_0	7	0	0	0	0	0	0	0	0	0	0
19365394-19365394_analysis_1	10	0	0	0	0	0	0	0	0	0	0
19632211-19632211_analysis_0	11	0	0	1	0	0	0	0	0	0	0
19632211-19632211_analysis_1	5	0	0	0	0	0	0	0	0	0	0
19632211-19632211_analysis_2	0	0	0	0	0	0	0	0	0	0	0
19632211-19632211_analysis_3	6	0	0	0	0	0	0	0	0	0	0
19636426-19636426_analysis_0	14	2	0	0	0	0	0	0	0	0	0
19650816-19650816_analysis_0	15	0	0	0	0	0	0	0	0	0	0
19650816-19650816_analysis_1	8	0	0	0	0	0	0	0	0	0	0
20044075-20044075_analysis_0	6	0	0	0	0	0	0	0	0	0	0
20096712-20096712_analysis_0	3	0	0	0	0	0	0	0	0	0	0
20570495-20570495_analysis_0	4	0	0	0	0	0	0	0	0	0	0
20579973-20579973_analysis_0	0	0	0	0	0	0	0	0	0	0	0
20579973-20579973_analysis_1	1	0	0	0	0	0	0	0	1	0	0
20604987-20604987_analysis_0	3	0	0	0	0	0	0	0	0	0	0
20604987-20604987_analysis_1	0	0	0	0	0	0	0	0	0	0	0
20604987-20604987_analysis_2	1	0	0	0	0	0	0	0	0	0	0
20604987-20604987_analysis_3	0	0	0	0	0	0	0	0	0	0	0
20604987-20604987_analysis_4	0	0	0	0	0	0	0	0	0	0	0
20604987-20604987_analysis_5	0	0	0	0	0	0	0	0	0	0	0
20634975-20634975_analysis_0	2	0	0	0	0	0	0	0	0	0	0
20634975-20634975_analysis_1	0	0	0	0	0	0	0	0	0	0	0
20634975-20634975_analysis_2	2	0	0	0	0	0	0	0	0	0	0
20670348-20670348_analysis_0	12	0	1	0	1	0	0	0	0	0	0
20678551-20678551_analysis_0	8	1	1	0	0	0	0	0	0	0	0
20678551-20678551_analysis_1	2	1	0	0	0	0	0	0	0	0	1
20678551-20678551_analysis_2	5	0	0	0	0	0	0	0	0	0	0
20688176-20688176_analysis_0	2	0	0	0	0	0	0	0	0	0	0
20840335-20840335_analysis_0	38	0	0	0	0	0	0	0	0	0	0
20840335-20840335_analysis_1	7	0	0	0	0	0	0	0	0	0	0
20840335-20840335_analysis_2	5	0	0	0	0	0	0	0	0	0	0
20840335-20840335_analysis_3	6	0	0	0	0	0	0	0	0	0	0
20840335-20840335_analysis_4	4	0	0	0	0	0	0	0	0	0	0
20840335-20840335_analysis_5	2	0	0	0	0	0	0	0	0	0	0
20840335-20840335_analysis_6	1	0	0	0	0	0	0	0	0	0	0
20920491-20920491_analysis_0	39	0	0	0	0	0	0	0	0	0	0
20920491-20920491_analysis_1	5	0	0	0	0	0	0	0	0	0	0
20932921-20932921_analysis_0	5	0	0	0	0	0	0	0	0	0	0
20932921-20932921_analysis_1	0	0	0	0	0	0	0	0	0	0	0
20932921-20932921_analysis_2	2	0	0	0	0	0	0	0	0	0	0
20932921-20932921_analysis_3	2	0	0	0	0	0	0	0	0	0	0
20932921-20932921_analysis_4	2	0	0	0	0	0	0	0	0	0	0
21045002-21045002_analysis_0	3	0	0	0	0	0	0	0	0	0	0
21045002-21045002_analysis_1	1	0	0	0	0	0	0	0	0	0	0
21045002-21045002_analysis_2	2	0	0	0	0	0	0	0	0	0	0
21045002-21045002_analysis_3	0	0	0	0	0	0	0	0	0	0	0
21045002-21045002_analysis_4	0	0	0	0	0	0	0	0	0	0	0
21111829-21111829_analysis_0	13	1	0	0	0	0	0	0	0	0	0
21111829-21111829_analysis_1	6	0	0	0	0	0	0	0	0	0	0
21115229-21115229_analysis_0	0	0	0	0	0	0	0	0	0	0	0
21115229-21115229_analysis_1	1	0	1	0	0	0	0	1	0	0	0
21115229-21115229_analysis_2	0	0	0	0	0	0	0	0	0	0	0
21185518-21185518_analysis_0	4	0	0	0	0	0	0	0	0	0	0
21185518-21185518_analysis_1	4	0	0	0	0	0	0	0	0	0	0
21185518-21185518_analysis_2	9	0	0	0	0	0	0	0	0	0	0
21219260-21219260_analysis_0	22	1	1	0	0	0	0	0	0	0	0
21261758-21261758_analysis_0	13	0	0	0	0	0	0	0	0	0	0
21261758-21261758_analysis_1	7	0	0	0	0	0	0	0	0	0	0
21292243-21292243_analysis_0	6	1	1	0	0	0	0	0	0	0	0
21292243-21292243_analysis_1	2	0	0	0	0	0	0	0	0	0	0
21440645-21440645_analysis_0	0	0	0	0	0	0	0	0	0	0	0
21440645-21440645_analysis_1	0	0	0	0	0	0	0	0	0	0	0
21440645-21440645_analysis_10	0	0	0	0	0	0	0	0	0	0	0
21440645-21440645_analysis_11	1	0	0	0	0	0	0	0	1	0	0
21440645-21440645_analysis_12	2	0	0	0	0	0	0	0	0	0	0
21440645-21440645_analysis_13	0	0	0	0	0	0	0	0	0	0	0
21440645-21440645_analysis_2	2	0	0	0	0	0	0	0	0	0	0
21440645-21440645_analysis_3	1	0	0	0	0	0	0	0	0	0	0
21440645-21440645_analysis_4	2	0	0	0	0	0	0	0	0	0	0
21440645-21440645_analysis_5	1	0	0	0	0	0	0	0	0	0	0
21440645-21440645_analysis_6	1	0	0	0	0	0	0	0	0	0	0
21440645-21440645_analysis_7	2	0	0	0	0	0	0	0	0	0	0
21440645-21440645_analysis_8	1	0	0	0	0	0	0	0	0	0	0
21440645-21440645_analysis_9	0	0	0	0	0	0	0	0	0	0	0
21466926-21466926_analysis_0	0	0	0	0	0	0	0	0	0	0	0
