project,arm,run,gold,n_common,benchmark_commit,endtoend_tp,endtoend_fp,endtoend_fn,endtoend_precision,endtoend_recall,endtoend_f1,paired_tp,paired_fp,paired_fn,paired_precision,paired_recall,paired_f1
vbm_of_substance_use,full text,v2,79,211,00398b9,63,79,16,0.4437,0.7975,0.5701,60,73,1,0.4511,0.9836,0.6186
vbm_of_substance_use,record + evidence,v2-record-with-evidence,79,211,00398b9,61,56,18,0.5214,0.7722,0.6224,59,45,2,0.5673,0.9672,0.7152
vbm_of_substance_use,"record, no evidence",v2-record-no-evidence,79,211,00398b9,56,49,23,0.5333,0.7089,0.6087,56,41,5,0.5773,0.918,0.7089
vbm_of_substance_use,"query, strict",query-strict,79,211,00398b9,53,21,26,0.7162,0.6709,0.6928,47,19,14,0.7121,0.7705,0.7402
vbm_of_substance_use,"query, permissive",query-permissive,79,211,00398b9,60,36,19,0.625,0.7595,0.6857,53,32,8,0.6235,0.8689,0.726
