project,arm,tp,fp,fn,precision,recall,f1,n_included,n_common
vbm_of_substance_use,v2,60,72,1,0.4545,0.9836,0.6218,132,209
vbm_of_substance_use,v2-record-with-evidence,59,44,2,0.5728,0.9672,0.7195,103,209
vbm_of_substance_use,v2-record-no-evidence,56,40,5,0.5833,0.918,0.7134,96,209
