project,arm,tp,fp,fn,precision,recall,f1,n_included,n_common
vbm_of_ptsd,v1-A1-mini,16,11,1,0.5926,0.9412,0.7273,27,49
vbm_of_ptsd,v1-record-with-evidence,13,9,4,0.5909,0.7647,0.6667,22,49
vbm_of_ptsd,v1-record-no-evidence,14,9,3,0.6087,0.8235,0.7,23,49
