project,arm,run,gold,n_common,benchmark_commit,endtoend_tp,endtoend_fp,endtoend_fn,endtoend_precision,endtoend_recall,endtoend_f1,paired_tp,paired_fp,paired_fn,paired_precision,paired_recall,paired_f1
dementia,full text,v3,73,405,00398b9,62,95,11,0.3949,0.8493,0.5391,54,89,3,0.3776,0.9474,0.54
dementia,record + evidence,v3-record-with-evidence,73,405,00398b9,50,53,23,0.4854,0.6849,0.5682,42,47,15,0.4719,0.7368,0.5753
dementia,"record, no evidence",v3-record-no-evidence,73,405,00398b9,45,50,28,0.4737,0.6164,0.5357,37,44,20,0.4568,0.6491,0.5362
dementia,"query, strict",query-strict,73,405,00398b9,31,67,42,0.3163,0.4247,0.3626,31,64,26,0.3263,0.5439,0.4079
dementia,"query, permissive",query-permissive,73,405,00398b9,52,217,21,0.1933,0.7123,0.3041,51,196,6,0.2065,0.8947,0.3355
