project,arm,run,manual_analysis,auto_analysis,n_analyses,n_studies,dice,pearson_r,r2,r_allfinite,r2_allfinite,r2_nonzero,n_brain
vbm_of_ptsd,full text,v1-A1-mini,nonptsdgtptsd_merged,decreased_gm,18,10,0.8008,0.6726,0.4524,0.6904,0.4767,0.1846,235375
vbm_of_ptsd,record + evidence,v1-record-with-evidence,nonptsdgtptsd_merged,decreased_gm,21,10,0.7829,0.6782,0.46,0.6965,0.4852,0.179,235375
vbm_of_ptsd,"record, no evidence",v1-record-no-evidence,nonptsdgtptsd_merged,decreased_gm,25,10,0.2987,0.6352,0.4034,0.6541,0.4278,0.1484,235375
vbm_of_ptsd,"query, strict",query-strict,nonptsdgtptsd_merged,decreased_gm,9,9,0.4164,0.7855,0.6169,0.8019,0.643,0.1855,235375
vbm_of_ptsd,"query, permissive",query-permissive,nonptsdgtptsd_merged,decreased_gm,64,17,0.4947,0.6099,0.372,0.6383,0.4074,0.2186,235375
vbm_of_ptsd,baseline,baselines/nonptsdgtptsd_merged,nonptsdgtptsd_merged,all_analyses,47,29,0.404,0.5712,0.3262,0.6103,0.3724,0.0245,235375
