project,arm,run,gold,n_common,benchmark_commit,endtoend_tp,endtoend_fp,endtoend_fn,endtoend_precision,endtoend_recall,endtoend_f1,paired_tp,paired_fp,paired_fn,paired_precision,paired_recall,paired_f1
cue_reactivity,full text,v5-gpt-A1-mini,191,561,00398b9,135,293,56,0.3154,0.7068,0.4362,135,293,5,0.3154,0.9643,0.4754
cue_reactivity,record + evidence,v5-gpt-record-with-evidence,191,561,00398b9,130,272,61,0.3234,0.6806,0.4384,130,272,10,0.3234,0.9286,0.4797
cue_reactivity,"record, no evidence",v5-gpt-record-no-evidence,191,561,00398b9,130,258,61,0.3351,0.6806,0.4491,130,258,10,0.3351,0.9286,0.4924
