match_key,canonical_label,mentions,n_variants,variants
emotion regulation,emotion regulation task,111,13,emotion regulation task | emotion regulation | Emotion Regulation Task | emotion regulation paradigm | Emotion Regulation task | Emotion regulation task | emotion-regulation task | ER task | emotion regulation fMRI task | Emotion Regulation Task (ERT) | fMRI Emotion Regulation Task | emotion regulation tasks | emotion-regulation paradigm
resting state,resting state,80,19,resting state | resting-state protocol | resting-state scan | resting-state fMRI | resting-state | resting-state task | resting-state scanning | Resting-state scan | resting-state paradigm | resting-state functional imaging | resting-state functional MRI | resting-state PET | Resting-state fMRI | resting state functional MRI | resting state scan | resting state task | Resting-state assessment | Resting-state | resting state MRI protocol
cue reactivity,cue-reactivity task,39,15,cue-reactivity task | cue reactivity task | cue-reactivity paradigm | cue reactivity | cue reactivity paradigm | Cue Reactivity Task | fMRI cue-reactivity task | fMRI cue reactivity | cue reactivity tasks | Cue reactivity paradigm | Cue reactivity task | fMRI cue-reactivity procedure | cue-reactivity fMRI task | cue-reactivity | fMRI cue-reactivity experiment
cognitive reappraisal,cognitive reappraisal task,24,3,cognitive reappraisal task | cognitive reappraisal | cognitive reappraisal paradigm
cue food visual,visual food cues,21,5,visual food cues | visual food cue task | visual food cue paradigm | Visual food-cue task | food-related visual cues
alcohol cue reactivity,alcohol cue reactivity task,18,8,alcohol cue reactivity task | alcohol cue-reactivity task | fMRI alcohol cue-reactivity task | alcohol cue reactivity | alcohol cue-reactivity paradigm | Alcohol Cue Reactivity Task | Alcohol Cue Reactivity task | alcohol cue reactivity paradigm
delay incentive monetary,monetary incentive delay task,17,9,monetary incentive delay task | Monetary Incentive Delay Task | modified monetary incentive delay task | Monetary Incentive Delay (MID) task | Monetary Incentive Delay task | adapted monetary incentive delay task | Monetary incentive delay (MID) task | MID task | monetary incentive delay (MID) task
reappraisal,reappraisal task,15,2,reappraisal task | Reappraisal Task
cue food,food cue task,14,4,food cue task | food cues | food cue paradigm | food-cue task
cue exposure,cue exposure task,13,8,cue exposure task | cue-exposure task | cue exposure | cue-exposure fMRI task | Cue Exposure Task | block-related cue-exposure | cue exposure fMRI task | block-related cue-exposure paradigm
cue reactivity smoking,smoking cue-reactivity task,11,7,smoking cue-reactivity task | smoking cue-reactivity paradigm | smoking cue reactivity task | smoking cue reactivity paradigm | fMRI smoking cue reactivity task | smoking cue-reactivity fMRI task | smoking cue reactivity
cue food reactivity,food cue-reactivity task,9,8,food cue-reactivity task | food-cue reactivity | fMRI food-cue reactivity task | food-cue reactivity task | food-cue reactivity paradigm | food cue reactivity task | fMRI food-cue reactivity | food-cue-reactivity task
emotion reappraisal,emotion reappraisal task,9,2,emotion reappraisal task | emotion reappraisal
signal stop,stop signal task,8,5,stop signal task | modified stop-signal task | Stop Signal Task | stop-signal task | Stop-Signal task
go no,go/no-go task,7,5,go/no-go task | modified go/no-go task | Go/No-Go task | Go/No-go task | Go-No-Go task
cue exposure smoking,smoking cue exposure,7,4,smoking cue exposure | smoking cue exposure task | Smoking cue exposure | Smoking Cue Exposure Task
emotional face,emotional faces,7,4,emotional faces | emotional face assessment task | emotional faces task | Emotional Face Assessment Task
cue food viewing,food cue viewing,6,2,food cue viewing | Food cue viewing task
