,all,decrease,functional,structural
dementia_all,0.43450901180857676,0.3870531300411094,0.32294520547945205,0.3384241582783756
dementia_decreasing_activity,0.4663694514440783,0.42567988374506954,0.3634397586933015,0.3824191036511507
functional,0.37368383353627965,0.3545688244917037,0.45385318306427047,0.1905055487053021
structural,0.35000627851492194,0.31225524072794286,0.23693112912491224,0.33357091945830364
