project_name,run_name,version,is_top_canonical_v_run,is_top_v_allstudies_run,selection_status,selection_reason,rerun_status,return_code,metrics_stage,recall,precision,f1,run_dir,evaluation_output_dir,log_path
decision_making,v2-annotation-only,2,,,skipped,Excluded annotation-only run.,skipped,,,,,,/home/zorro/repos/autonima-results/projects/decision_making/v2-annotation-only,/home/zorro/repos/autonima-results/reports/cross_project_screening/evaluations/decision_making/v2-annotation-only,
dementia,v1,1,,,selected,Eligible versioned run with screening artifacts.,success,0,fulltext,0.864865,0.253968,0.392638,/home/zorro/repos/autonima-results/projects/dementia/v1,/home/zorro/repos/autonima-results/reports/cross_project_screening/evaluations/dementia/v1,/home/zorro/repos/autonima-results/reports/cross_project_screening/logs/dementia__v1.log
dementia,v1-allstudies,1,,,selected,Eligible versioned run with screening artifacts.,success,0,fulltext,0.905405,0.368132,0.523438,/home/zorro/repos/autonima-results/projects/dementia/v1-allstudies,/home/zorro/repos/autonima-results/reports/cross_project_screening/evaluations/dementia/v1-allstudies,/home/zorro/repos/autonima-results/reports/cross_project_screening/logs/dementia__v1-allstudies.log
dementia,v2,2,,,selected,Eligible versioned run with screening artifacts.,success,0,fulltext,0.851351,0.384146,0.529412,/home/zorro/repos/autonima-results/projects/dementia/v2,/home/zorro/repos/autonima-results/reports/cross_project_screening/evaluations/dementia/v2,/home/zorro/repos/autonima-results/reports/cross_project_screening/logs/dementia__v2.log
dementia,v2-allstudies,2,,,selected,Eligible versioned run with screening artifacts.,success,0,fulltext,0.905405,0.482014,0.629108,/home/zorro/repos/autonima-results/projects/dementia/v2-allstudies,/home/zorro/repos/autonima-results/reports/cross_project_screening/evaluations/dementia/v2-allstudies,/home/zorro/repos/autonima-results/reports/cross_project_screening/logs/dementia__v2-allstudies.log
dementia,v2-annotation-only,2,,,skipped,Excluded annotation-only run.,skipped,,,,,,/home/zorro/repos/autonima-results/projects/dementia/v2-annotation-only,/home/zorro/repos/autonima-results/reports/cross_project_screening/evaluations/dementia/v2-annotation-only,
dementia,v2-annotation-only-abstract,2,,,skipped,Excluded annotation-only run.,skipped,,,,,,/home/zorro/repos/autonima-results/projects/dementia/v2-annotation-only-abstract,/home/zorro/repos/autonima-results/reports/cross_project_screening/evaluations/dementia/v2-annotation-only-abstract,
dementia,v3-allstudies,3,,,selected,Eligible versioned run with screening artifacts.,success,0,fulltext,0.891892,0.468085,0.613953,/home/zorro/repos/autonima-results/projects/dementia/v3-allstudies,/home/zorro/repos/autonima-results/reports/cross_project_screening/evaluations/dementia/v3-allstudies,/home/zorro/repos/autonima-results/reports/cross_project_screening/logs/dementia__v3-allstudies.log
dementia,v3-annotation-only,3,,,skipped,Excluded annotation-only run.,skipped,,,,,,/home/zorro/repos/autonima-results/projects/dementia/v3-annotation-only,/home/zorro/repos/autonima-results/reports/cross_project_screening/evaluations/dementia/v3-annotation-only,
dementia,v4-allstudies,4,,,selected,Eligible versioned run with screening artifacts.,success,0,fulltext,0.905405,0.426752,0.580087,/home/zorro/repos/autonima-results/projects/dementia/v4-allstudies,/home/zorro/repos/autonima-results/reports/cross_project_screening/evaluations/dementia/v4-allstudies,/home/zorro/repos/autonima-results/reports/cross_project_screening/logs/dementia__v4-allstudies.log
emotional_regulation_2022,v1-allstudies,1,,,selected,Eligible versioned run with screening artifacts.,success,0,fulltext,0.238636,0.466667,0.315789,/home/zorro/repos/autonima-results/projects/emotional_regulation_2022/v1-allstudies,/home/zorro/repos/autonima-results/reports/cross_project_screening/evaluations/emotional_regulation_2022/v1-allstudies,/home/zorro/repos/autonima-results/reports/cross_project_screening/logs/emotional_regulation_2022__v1-allstudies.log
emotional_regulation_2022,v2-allstudies,2,,,selected,Eligible versioned run with screening artifacts.,success,0,fulltext,0.477273,0.567568,0.518519,/home/zorro/repos/autonima-results/projects/emotional_regulation_2022/v2-allstudies,/home/zorro/repos/autonima-results/reports/cross_project_screening/evaluations/emotional_regulation_2022/v2-allstudies,/home/zorro/repos/autonima-results/reports/cross_project_screening/logs/emotional_regulation_2022__v2-allstudies.log
executive_function,v1-2010,1,,,selected,Eligible versioned run with screening artifacts.,success,0,fulltext,0.321637,0.078125,0.125714,/home/zorro/repos/autonima-results/projects/executive_function/v1-2010,/home/zorro/repos/autonima-results/reports/cross_project_screening/evaluations/executive_function/v1-2010,/home/zorro/repos/autonima-results/reports/cross_project_screening/logs/executive_function__v1-2010.log
executive_function,v1-annotation-only,1,,,skipped,Excluded annotation-only run.,skipped,,,,,,/home/zorro/repos/autonima-results/projects/executive_function/v1-annotation-only,/home/zorro/repos/autonima-results/reports/cross_project_screening/evaluations/executive_function/v1-annotation-only,
problem_solving,v1-annotation-only,1,,,skipped,Excluded annotation-only run.,skipped,,,,,,/home/zorro/repos/autonima-results/projects/problem_solving/v1-annotation-only,/home/zorro/repos/autonima-results/reports/cross_project_screening/evaluations/problem_solving/v1-annotation-only,
problem_solving,v2-annotation-only-gpt,2,,,skipped,Excluded annotation-only run.,skipped,,,,,,/home/zorro/repos/autonima-results/projects/problem_solving/v2-annotation-only-gpt,/home/zorro/repos/autonima-results/reports/cross_project_screening/evaluations/problem_solving/v2-annotation-only-gpt,
social,v1-annotation-only,1,,,skipped,Excluded annotation-only run.,skipped,,,,,,/home/zorro/repos/autonima-results/projects/social/v1-annotation-only,/home/zorro/repos/autonima-results/reports/cross_project_screening/evaluations/social/v1-annotation-only,
social,v1-annotation-only-gpt5,1,,,skipped,Excluded annotation-only run.,skipped,,,,,,/home/zorro/repos/autonima-results/projects/social/v1-annotation-only-gpt5,/home/zorro/repos/autonima-results/reports/cross_project_screening/evaluations/social/v1-annotation-only-gpt5,
social,v1-annotation-only-lc,1,,,skipped,Excluded annotation-only run.,skipped,,,,,,/home/zorro/repos/autonima-results/projects/social/v1-annotation-only-lc,/home/zorro/repos/autonima-results/reports/cross_project_screening/evaluations/social/v1-annotation-only-lc,
