pmid,table_id,table_label,x,y,z,p_value,region,size,statistic,groups
26567160,13,Table 1,-6.0,-52.0,32.0,,PrC,40,5.16,Trust > Age
26567160,13,Table 1,-2.0,-14.0,40.0,,MCC,31,5.58,Trust > Age
26567160,13,Table 1,-44.0,-62.0,26.0,,TPJ,"2,859",10.04,Distrust > Age
26567160,13,Table 1,66.0,-44.0,26.0,,TPJ,514,6.54,Distrust > Age
26567160,13,Table 1,-8.0,52.0,42.0,,ACC/mPFC,"2,297",8.60,Distrust > Age
26567160,13,Table 1,-48.0,-2.0,-36.0,,Middle temporal gyrus,"1,427",8.49,Distrust > Age
26567160,13,Table 1,24.0,-76.0,-36.0,,Cerebellum-(Crus-I),242,7.07,Distrust > Age
26567160,13,Table 1,54.0,30.0,-2.0,,IFG extending to insula,66,7.08,Distrust > Age
26567160,13,Table 1,-42.0,-10.0,54.0,,IFG extending to insula,26,5.31,Distrust > Age
26567160,13,Table 1,-2.0,-14.0,40.0,,PCC,65,5.75,Distrust > Age
26567160,13,Table 1,56.0,-6.0,52.0,,Precentral gyrus,50,5.86,Distrust > Age
26567160,13,Table 1,56.0,-4.0,-16.0,,Superior temporal gyrus,26,5.29,Distrust > Age
26567160,13,Table 1,52.0,10.0,-20.0,,Temporal pole,19,5.09,Distrust > Age
26567160,15,Table 3,-12.0,-42.0,32.0,,PrC/PCC,41,3.67,Trust
26567160,15,Table 3,-50.0,26.0,16.0,,IFG,221,4.58,Distrust
26567160,15,Table 3,-38.0,6.0,-36.0,,Inferior temporal gyrus,21,3.74,Distrust
26567160,16,Table 4,-2.0,32.0,32.0,,ACC/mPFC,147,3.60,Precuneus Connectivity-Positive
26567160,16,Table 4,-40.0,28.0,24.0,,dlPFC,143,3.76,Precuneus Connectivity-Positive
26567160,16,Table 4,40.0,32.0,36.0,,dlPFC,137,3.72,Precuneus Connectivity-Positive
26567160,16,Table 4,-56.0,-46.0,46.0,,IPL,56,3.61,Precuneus Connectivity-Positive
26567160,16,Table 4,8.0,60.0,26.0,,Superior frontal gyrus-medial segment,56,3.69,Precuneus Connectivity-Positive
26567160,16,Table 4,8.0,50.0,52.0,,Superior frontal gyrus,52,3.97,Precuneus Connectivity-Positive
26567160,16,Table 4,10.0,26.0,68.0,,Superior frontal gyrus,45,4.09,Precuneus Connectivity-Positive
26567160,16,Table 4,32.0,0.0,22.0,,dmPFC,118,4.21,IFG Connectivity-Negative
26567160,16,Table 4,36.0,14.0,-26.0,,Temporopolar area,30,3.58,IFG Connectivity-Negative
30077577,17,Table 2,32.0,-54.0,6.0,,Parahippocampus,252,,
30077577,17,Table 2,32.0,16.0,10.0,,Insula,108,,
30077577,17,Table 2,-24.0,16.0,10.0,,Insula,184,,
30077577,17,Table 2,-14.0,-54.0,30.0,,Precuneus,246,,
30077577,17,Table 2,-54.0,-68.0,8.0,,Fusiform gyrus,266,,
30077577,17,Table 2,52.0,-70.0,0.0,,Fusiform gyrus,138,,
30077577,17,Table 2,-2.0,2.0,50.0,,Pre-SMA,192,,
