stage,metric,value,ci_lower,ci_upper,true_positives,false_negatives,false_positives
search,recall,0.016666666666666666,0.0064998355877797925,0.04206283788549137,4,236,94
search,precision,0.04081632653061224,0.015984990527160972,0.10028969486662703,4,236,94
abstract,recall_in_search,0.5,0.15003570882017148,0.8499642911798285,2,2,54
abstract,recall_all_meta,0.008333333333333333,0.002288235363161974,0.029870346273441456,2,2,54
abstract,precision,0.03571428571428571,0.009849218502577639,0.12119005852210082,2,2,54
fulltext,recall_in_search,0.5,0.15003570882017148,0.8499642911798285,2,2,10
fulltext,recall_all_meta,0.008333333333333333,0.002288235363161974,0.029870346273441456,2,2,10
fulltext,precision,0.16666666666666666,0.04696414761482223,0.44803635738467273,2,2,10
