,all,decrease,functional,structural
dementia_all,0.45316871426833716,0.3748529802329552,0.2617193836171938,0.3398837304511586
dementia_decreasing_activity,0.48358589516993594,0.39977131422854284,0.287953136292746,0.3413548263289196
functional,0.0807850059706142,0.09612062195696561,0.13735616562471686,0.06979542719614922
structural,0.4370102471368294,0.3356578025424577,0.2127042512555705,0.32489300998573467
all_analyses,0.4284206486279025,0.3392394983077842,0.24342577097776716,0.28046945531146555
all_studies,0.46251979964895756,0.35142196014032995,0.2694445887670806,0.27673810768426554
all_abstract,0.46171314379144335,0.36007358234023834,0.27353959566625713,0.2857945921636967
