pmid,priority,is_gold,in_included_set,type,reported_by,existing_path
22383502,2,False,True,unavailable,v6,
22396427,2,False,True,unavailable,v6,
22489578,2,False,True,unavailable,v6,
22498079,2,False,True,unavailable,v6,
22510246,2,False,True,unavailable,v6,
22524295,2,False,True,unavailable,v6,
22548898,2,False,True,unavailable,v6,
22586138,2,False,True,unavailable,v6,
22815523,2,False,True,unavailable,v6,
22872692,2,False,True,unavailable,v6,
22900624,2,False,True,unavailable,v6,
23059859,2,False,True,unavailable,v6,
23200084,2,False,True,unavailable,v6,
23223532,2,False,True,unavailable,v6,
23303334,2,False,True,unavailable,v6,
23397317,2,False,True,unavailable,v6,
23407973,2,False,True,unavailable,v6,
23445167,2,False,True,unavailable,v6,
23459322,2,False,True,unavailable,v6,
23547242,2,False,True,unavailable,v6,
23757765,2,False,True,unavailable,v6,
23779051,2,False,True,unavailable,v6,
23784668,2,False,True,unavailable,v6,
23887809,2,False,True,unavailable,v6,
23913733,2,False,True,unavailable,v6,
23946275,2,False,True,unavailable,v6,
24026225,2,False,True,unavailable,v6,
24080950,2,False,True,unavailable,v6,
24116842,2,False,True,unavailable,v6,
24136199,2,False,True,unavailable,v6,
24136926,2,False,True,unavailable,v6,
24305681,2,False,True,unavailable,v6,
24307490,2,False,True,unavailable,v6,
24366575,2,False,True,unavailable,v6,
24696182,2,False,True,unavailable,v6,
24763910,2,False,True,unavailable,v6,
24800986,2,False,True,unavailable,v6,
24847853,2,False,True,unavailable,v1;v4;v6,
24903627,2,False,True,unavailable,v6,
25071023,2,False,True,unavailable,v6,
25304885,2,False,True,unavailable,v6,
25645425,2,False,True,unavailable,v6,
25753781,2,False,True,unavailable,v6,
25833968,2,False,True,unavailable,v1;v4;v6,
25971857,2,False,True,unavailable,v6,
25971928,2,False,True,unavailable,v6,
26246443,2,False,True,unavailable,v6,
26319407,2,False,True,unavailable,v6,
26388147,2,False,True,unavailable,v6,
26555033,2,False,True,unavailable,v6,
26581912,2,False,True,unavailable,v6,
26610386,2,False,True,unavailable,v6,
26747088,2,False,True,unavailable,v6,
26797854,2,False,True,unavailable,v6,
26936075,2,False,True,unavailable,v6,
27216819,2,False,True,unavailable,v6,
27263273,2,False,True,unavailable,v6,
27278664,2,False,True,unavailable,v6,
27295200,2,False,True,unavailable,v6,
27345375,2,False,True,unavailable,v6,
27457416,2,False,True,unavailable,v6,
27600363,2,False,True,unavailable,v6,
27614922,2,False,True,unavailable,v6,
27780839,2,False,True,unavailable,v6,
27943592,2,False,True,unavailable,v6,
27978801,2,False,True,unavailable,v6,
28093022,2,False,True,unavailable,v6,
28130745,2,False,True,unavailable,v6,
28355957,2,False,True,unavailable,v6,
28401285,2,False,True,unavailable,v6,
28459134,2,False,True,unavailable,v6,
28691844,2,False,True,unavailable,v6,
28819323,2,False,True,unavailable,v6,
28832300,2,False,True,unavailable,v6,
29064475,2,False,True,unavailable,v6,
29289371,2,False,True,unavailable,v6,
29310889,2,False,True,unavailable,v6,
29616603,2,False,True,unavailable,v6,
29687649,2,False,True,unavailable,v6,
29909784,2,False,True,unavailable,v6,
30010874,2,False,True,unavailable,v6,
30094544,2,False,True,unavailable,v6,
30156503,2,False,True,unavailable,v6,
30666763,2,False,True,unavailable,v6,
30820857,2,False,True,unavailable,v6,
30957353,2,False,True,unavailable,v6,
31130571,2,False,True,unavailable,v6,
31399924,2,False,True,unavailable,v6,
31713099,2,False,True,unavailable,v6,
32312660,2,False,True,unavailable,v6,
10022678,3,False,False,unavailable,v6,
11438606,3,False,False,unavailable,v6,
11856112,3,False,False,unavailable,v6,
12205170,3,False,False,unavailable,v6,
12418359,3,False,False,unavailable,v6,
12461263,3,False,False,unavailable,v6,
12633158,3,False,False,unavailable,v6,
12821791,3,False,False,unavailable,v6,
12967923,3,False,False,unavailable,v6,
14534252,3,False,False,unavailable,v6,
15044548,3,False,False,unavailable,v6,
15205837,3,False,False,unavailable,v6,
15256342,3,False,False,unavailable,v6,
15464121,3,False,False,unavailable,v4;v6,
15543026,3,False,False,unavailable,v6,
15715038,3,False,False,unavailable,v6,
15849896,3,False,False,unavailable,v6,
15850502,3,False,False,unavailable,v1;v4;v6,
15966754,3,False,False,unavailable,v6,
16229380,3,False,False,unavailable,v6,
16254993,3,False,False,unavailable,v6,
16536770,3,False,False,unavailable,v6,
16813919,3,False,False,unavailable,v6,
17051432,3,False,False,unavailable,v6,
17274494,3,False,False,unavailable,v6,
17487228,3,False,False,unavailable,v6,
17513197,3,False,False,unavailable,v6,
17594185,3,False,False,unavailable,v6,
18059502,3,False,False,unavailable,v6,
18164583,3,False,False,unavailable,v1;v4;v6,
18221282,3,False,False,unavailable,v6,
18422527,3,False,False,unavailable,v6,
18552829,3,False,False,unavailable,v6,
18564153,3,False,False,unavailable,v6,
18568083,3,False,False,unavailable,v6,
18624960,3,False,False,unavailable,v6,
18925717,3,False,False,unavailable,v6,
19170662,3,False,False,unavailable,v1;v4;v6,
19240054,3,False,False,unavailable,v1;v4;v6,
19448188,3,False,False,unavailable,v6,
19453901,3,False,False,unavailable,v6,
19684248,3,False,False,unavailable,v6,
19853720,3,False,False,unavailable,v1;v4;v6,
19929329,3,False,False,unavailable,v6,
19955783,3,False,False,unavailable,v6,
19955785,3,False,False,unavailable,v6,
20053886,3,False,False,unavailable,v6,
20080096,3,False,False,unavailable,v6,
20164326,3,False,False,unavailable,v6,
20704640,3,False,False,unavailable,v6,
20881128,3,False,False,unavailable,v6,
20962229,3,False,False,unavailable,v6,
21198635,3,False,False,unavailable,v6,
21492080,3,False,False,unavailable,v6,
21528366,3,False,False,unavailable,v6,
21573926,3,False,False,unavailable,v6,
21606659,3,False,False,unavailable,v6,
21883853,3,False,False,unavailable,v6,
21900560,3,False,False,unavailable,v6,
21994389,3,False,False,unavailable,v6,
21999692,3,False,False,unavailable,v6,
22522963,3,False,False,unavailable,v6,
22595033,3,False,False,unavailable,v6,
22620487,3,False,False,unavailable,v6,
22826630,3,False,False,unavailable,v6,
22945872,3,False,False,unavailable,v6,
23150101,3,False,False,unavailable,v6,
23165087,3,False,False,unavailable,v6,
23223206,3,False,False,unavailable,v6,
23235646,3,False,False,unavailable,v6,
23263196,3,False,False,unavailable,v6,
23300105,3,False,False,unavailable,v6,
23335390,3,False,False,unavailable,v6,
23470155,3,False,False,unavailable,v6,
23658085,3,False,False,unavailable,v6,
23697290,3,False,False,unavailable,v6,
23711773,3,False,False,unavailable,v6,
23732817,3,False,False,unavailable,v6,
