id	PositiveTail 1	PositiveTail 2	PositiveTail 3	PositiveTail 4	PositiveTail 5	PositiveTail 6	PositiveTail 7	PositiveTail 8	PositiveTail 9	PositiveTail 10	PositiveTail 11	PositiveTail 12
11502262-11502262_1	2	0	1	0	0	0	0	0	0	0	0	0
11502262-11502262_2	3	3	1	0	0	0	0	2	0	0	0	0
12873752-12873752_2	0	0	0	0	0	0	0	0	0	0	0	0
15722210-15722210_4	2	0	1	0	0	0	0	0	0	0	0	0
15907312-15907312_1	2	0	2	1	0	0	1	0	0	0	0	0
17027779-17027779_1	2	0	5	0	0	0	0	0	0	0	0	0
17627851-17627851_1	4	0	3	1	1	0	0	0	0	0	0	0
17627851-17627851_2	2	3	5	4	0	0	0	0	0	0	0	0
17822681-17822681_1	2	2	0	2	0	0	0	0	0	0	0	0
17822681-17822681_2	1	3	3	0	0	0	0	0	0	0	1	0
17822681-17822681_3	1	2	1	0	0	0	0	0	0	0	0	0
17822681-17822681_4	2	3	2	2	0	0	0	0	0	0	1	1
17851092-17851092_1	1	0	2	0	1	0	0	0	0	0	0	0
17904384-17904384_1	0	0	3	2	0	0	0	0	0	0	0	0
18022606-18022606_1	2	0	2	1	0	0	0	0	0	0	0	0
18022606-18022606_2	2	0	1	1	1	0	0	0	0	0	0	0
18022606-18022606_3	0	0	0	0	0	0	0	0	0	0	0	0
18022606-18022606_4	0	0	0	0	0	0	0	0	0	0	0	0
19549622-19549622_1	1	0	2	0	0	0	0	0	0	0	0	0
20483908-20483908_1	0	0	3	0	0	0	0	0	0	0	0	0
20483908-20483908_2	0	0	2	0	0	0	0	0	0	0	0	0
20483908-20483908_3	0	0	0	0	0	0	0	0	0	0	0	0
20483908-20483908_4	0	2	1	0	0	0	0	0	0	0	0	0
20483908-20483908_5	0	1	0	0	0	0	0	0	0	0	0	0
