,affiliation_merged,self_merged,others_merged,soccomm_merged,all_merged
affiliation_attachment,0.620415125149486,0.6085015865968793,0.611323645202704,0.5438397679945637,0.6750503893907422
perception_self,0.5627473752521575,0.6784684397006527,0.632980354419793,0.5675971725756283,0.694449493961593
perception_others,0.6373771406692013,0.6501954772272218,0.8558172393493365,0.7686718613351606,0.892914632965934
social_communication,0.5733954856437251,0.6208741008101396,0.7451674336045749,0.7796847018458771,0.8251976487849868
social_processing_all,0.6408296877038242,0.6759742619026089,0.8634471262079101,0.7618918155916995,0.9006056746499707
all_analyses,0.6156681175715275,0.6625743825339242,0.8446219263981866,0.7683282764852831,0.8900220885070343
all_studies,0.6111118052397163,0.6735040952677839,0.8290852621566308,0.7766091786231581,0.8860944661623726
all_abstract,0.6165934070103085,0.6672067312185012,0.839004287067316,0.7731650090776202,0.889281186239072
