,all,working_memory,inhibition,flexibility
pooled_executive_function,0.923271554286062,0.8899930742838899,0.8201867527158888,0.5968676623781555
working_memory,0.9058825542331485,0.8900283917487495,0.7838254078545246,0.5706401343945063
inhibition,0.8289671437287655,0.7634322063773329,0.8046067467150234,0.5289442473570423
cognitive_flexibility,0.7914987403434567,0.7711109838389933,0.6721555550554612,0.5893509492241242
all_analyses,0.9185891277380203,0.8821201089992983,0.8208156659734493,0.5962919601530268
all_studies,0.9104195895412116,0.8690395788908186,0.8240218841667145,0.5883422227428787
all_abstract,0.9178315287979085,0.8783150702883037,0.8260637152461261,0.5954009364045065
