pmid,publisher,journal,year,doi,doi_url,pubmed_url,title,is_oa,oa_pdf,oa_landing
21054282,Wiley,Acta psychiatrica Scandinavica,2011,10.1111/j.1600-0447.2010.01635.x,https://doi.org/10.1111/j.1600-0447.2010.01635.x,https://pubmed.ncbi.nlm.nih.gov/21054282/,Gray matter volume deficits and correlation with insight and negative symptoms in first-psychotic-episode subj,no,,
26038817,Wiley,Acta psychiatrica Scandinavica,2015,10.1111/acps.12455,https://doi.org/10.1111/acps.12455,https://pubmed.ncbi.nlm.nih.gov/26038817/,Childhood neglect predicts disorganization in schizophrenia through grey matter decrease in dorsolateral prefr,no,,
21320250,Wiley,Bipolar disorders,2011,10.1111/j.1399-5618.2011.00896.x,https://doi.org/10.1111/j.1399-5618.2011.00896.x,https://pubmed.ncbi.nlm.nih.gov/21320250/,A population-based morphometric MRI study in patients with first-episode psychotic bipolar disorder: compariso,no,,
22017223,Wiley,Bipolar disorders,2011,10.1111/j.1399-5618.2011.00953.x,https://doi.org/10.1111/j.1399-5618.2011.00953.x,https://pubmed.ncbi.nlm.nih.gov/22017223/,Structural brain abnormalities in first-episode psychosis: differences between affective psychoses and schizop,no,,
20572905,Wiley,Journal of neuroimaging : official journal of ,2011,10.1111/j.1552-6569.2010.00504.x,https://doi.org/10.1111/j.1552-6569.2010.00504.x,https://pubmed.ncbi.nlm.nih.gov/20572905/,Gray matter alterations in first-admission adolescents with schizophrenia.,no,,
23252928,Wiley,Psychiatry and clinical neurosciences,2012,10.1111/j.1440-1819.2012.02397.x,https://doi.org/10.1111/j.1440-1819.2012.02397.x,https://pubmed.ncbi.nlm.nih.gov/23252928/,Discrimination of female schizophrenia patients from healthy women using multiple structural brain measures ob,yes,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/j.1440-1819.2012.02397.x,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/j.1440-1819.2012.02397.x
23331283,Wiley,Psychiatry and clinical neurosciences,2013,10.1111/pcn.12003,https://doi.org/10.1111/pcn.12003,https://pubmed.ncbi.nlm.nih.gov/23331283/,Effects of menopause on brain structural changes in schizophrenia.,no,,
37904327,Wiley,Psychiatry and clinical neurosciences,2023,10.1111/pcn.13612,https://doi.org/10.1111/pcn.13612,https://pubmed.ncbi.nlm.nih.gov/37904327/,Asynchronous neural maturation predicts transition to psychosis.,yes,,https://doi.org/10.1111/pcn.13612
19521637,unknown,"Annals of the Academy of Medicine, Singapore",2009,,,https://pubmed.ncbi.nlm.nih.gov/19521637/,"Duration of illness, regional brain morphology and neurocognitive correlates in schizophrenia.",,,
12377162,unknown,NeuroImage,2002,,,https://pubmed.ncbi.nlm.nih.gov/12377162/,Structural gray matter differences between first-episode schizophrenics and normal controls using voxel-based ,,,
18445872,unknown,Psychiatria Hungarica : A Magyar Pszichiatriai,2007,,,https://pubmed.ncbi.nlm.nih.gov/18445872/,[Structural MRI investigation in schizophrenia with optimised voxel-based morphometry--a pilot study].,,,
20369460,unknown,Sichuan da xue xue bao. Yi xue ban = Journal o,2010,,,https://pubmed.ncbi.nlm.nih.gov/20369460/,[A comparative study of voxel-based morphometry in patients with paranoid schizophrenia and bipolar mania].,,,
