id	PositiveTail 1	PositiveTail 2	PositiveTail 3	PositiveTail 4	PositiveTail 5	PositiveTail 6	PositiveTail 7	PositiveTail 8	PositiveTail 9	PositiveTail 10	PositiveTail 11	PositiveTail 12	PositiveTail 13	PositiveTail 14	PositiveTail 15	PositiveTail 16	PositiveTail 17
20703221-20703221_1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
20729530-20729530_1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
20823246-20823246_1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
20840335-20840335_1	2	2	1	0	4	1	0	0	0	1	0	0	0	0	0	0	0
20840335-20840335_2	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
21045002-21045002_1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21199958-21199958_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21248113-21248113_1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21292243-21292243_1	1	1	0	1	3	0	0	1	1	0	0	0	0	0	0	0	0
21299752-21299752_1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
21677649-21677649_2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
21718449-21718449_1	1	1	1	2	2	0	1	1	0	0	0	0	0	0	0	0	0
21718449-21718449_2	1	2	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0
21764527-21764527_1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21790899-21790899_1	0	0	0	0	0	6	0	0	3	0	0	0	0	0	0	0	0
21790907-21790907_1	0	0	0	1	7	1	0	1	1	0	0	0	0	0	0	0	0
21859165-21859165_1	0	0	0	0	2	1	0	0	2	0	0	0	0	0	0	0	0
21883951-21883951_1	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0
21952129-21952129_1	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21952129-21952129_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22006991-22006991_1	0	1	0	2	1	0	0	2	0	1	0	0	0	0	0	0	0
22006991-22006991_2	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
22028765-22028765_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22097928-22097928_1	1	1	0	0	2	1	1	1	1	0	0	0	0	0	0	0	0
22114078-22114078_1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
22329835-22329835_1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22332246-22332246_1	1	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0
22332246-22332246_3	1	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0
22395731-22395731_1	1	0	1	1	6	1	2	1	0	0	0	0	0	0	0	0	0
22395731-22395731_2	3	2	0	0	6	0	2	0	0	0	0	0	0	0	0	0	0
22458561-22458561_1	3	0	1	0	6	0	1	0	2	1	0	0	0	0	0	0	0
22458561-22458561_2	1	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0	0
22461323-22461323_1	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
22483100-22483100_1	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0
22542509-22542509_1	0	0	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0
22591950-22591950_1	0	0	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0
22684096-22684096_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22684096-22684096_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22684096-22684096_3	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
22684096-22684096_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22684096-22684096_5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22684096-22684096_6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22759909-22759909_1	3	3	1	2	15	1	2	2	2	0	1	0	0	0	0	0	0
22759909-22759909_2	0	0	0	0	11	2	0	0	0	0	0	0	0	0	0	0	0
22860092-22860092_1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
22890475-22890475_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23051899-23051899_1	2	3	1	1	4	0	1	2	0	1	0	0	0	0	0	0	1
23078363-23078363_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23078363-23078363_2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
23382517-23382517_1	1	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
23382517-23382517_2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23389755-23389755_1	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0
23421466-23421466_1	1	1	0	0	3	1	0	1	0	0	0	0	0	0	0	0	0
23421466-23421466_2	1	1	0	1	8	1	0	1	0	1	0	0	0	0	0	0	0
23497788-23497788_1	1	1	1	0	6	0	0	0	1	0	0	0	0	0	0	0	0
23497788-23497788_2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
23571420-23571420_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23667541-23667541_1	5	5	0	2	2	0	0	1	0	0	0	0	0	0	0	0	0
23667541-23667541_2	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0
