,all,working_memory,inhibition,flexibility
pooled_executive_function,0.8900513034554931,0.816533461898481,0.7530267803132794,0.339468154102776
working_memory,0.8584279602618357,0.8360320694538135,0.6588366267197285,0.2993525394900696
inhibition,0.758163674184779,0.6383836279101001,0.79589878565819,0.2855886898814946
cognitive_flexibility,0.53017793518254,0.47219875178748705,0.4292780698408877,0.5054512037122075
all_analyses,0.883042165874835,0.8065675341480284,0.7492668862665224,0.351133580386853
