id	PositiveTail 1	PositiveTail 2	PositiveTail 3	PositiveTail 4	PositiveTail 5	PositiveTail 6	PositiveTail 7	PositiveTail 8	PositiveTail 9	PositiveTail 10	PositiveTail 11	PositiveTail 12
10982748-10982748_1	1	0	0	0	1	1	0	0	0	0	0	0
16785427-16785427_1	1	1	1	1	0	0	0	0	0	0	0	0
18375149-18375149_1	0	0	0	0	0	0	0	0	0	0	0	0
18612380-18612380_1	2	0	0	0	0	1	1	0	1	0	0	0
20357071-20357071_1	1	1	0	0	0	0	0	0	0	0	0	0
20505110-20505110_1	0	0	0	1	0	0	1	0	0	0	0	0
21106817-21106817_1	1	1	1	0	1	0	0	1	0	0	0	0
21325535-21325535_1	0	0	0	0	1	0	0	0	0	0	0	0
21325535-21325535_2	0	0	0	0	0	0	0	0	0	0	0	0
21741443-21741443_1	2	1	1	0	1	0	1	0	0	0	0	0
22922368-22922368_1	1	1	1	1	1	1	0	0	0	0	0	0
22922368-22922368_2	0	0	0	0	0	0	0	0	0	0	0	0
23365248-23365248_1	0	0	0	0	1	0	0	0	0	0	0	0
23982589-23982589_1	0	0	0	0	0	0	0	0	0	0	0	0
23982589-23982589_2	0	0	0	0	0	1	0	0	1	0	0	0
25112281-25112281_1	1	1	0	0	1	0	0	0	0	0	0	0
25112281-25112281_2	0	0	0	0	1	1	0	1	0	0	0	0
25798082-25798082_1	0	0	0	0	0	0	0	0	0	0	0	0
26510176-26510176_1	0	0	0	0	0	0	0	0	0	0	0	0
26510176-26510176_2	0	1	1	0	0	0	1	0	0	0	0	0
26510176-26510176_3	0	1	1	1	0	0	0	0	0	0	0	0
26510176-26510176_4	0	0	0	0	0	0	0	0	0	0	0	0
27177981-27177981_1	1	1	1	0	1	0	0	0	0	0	0	0
27177981-27177981_2	1	1	1	1	1	1	0	0	0	0	0	0
27177981-27177981_3	1	1	1	1	0	0	1	0	0	0	0	0
27177981-27177981_4	1	1	1	0	0	0	0	0	0	0	0	0
28131862-28131862_1	0	0	0	0	0	0	0	0	0	0	0	0
28250149-28250149_1	1	1	1	1	1	1	0	0	0	0	0	0
28250149-28250149_2	0	0	0	0	0	0	0	0	0	0	0	0
28250149-28250149_3	0	0	0	0	0	0	0	1	0	0	0	0
29408524-29408524_1	1	0	0	0	0	0	0	0	0	0	0	0
29408524-29408524_2	0	0	0	0	0	0	0	0	0	0	0	0
29408524-29408524_3	0	0	0	0	0	0	0	0	0	0	0	0
29408524-29408524_4	0	0	0	0	0	0	0	0	0	0	0	0
29408524-29408524_5	1	1	1	1	0	0	0	0	0	0	0	0
29408524-29408524_6	0	0	0	0	0	0	0	1	0	0	0	0
29408524-29408524_7	1	1	0	1	1	0	0	0	0	0	0	0
