id	PositiveTail 1	PositiveTail 2	PositiveTail 3	PositiveTail 4	PositiveTail 5	PositiveTail 6	PositiveTail 7	PositiveTail 8	PositiveTail 9	PositiveTail 10	PositiveTail 11	PositiveTail 12	PositiveTail 13	PositiveTail 14	PositiveTail 15	PositiveTail 16	PositiveTail 17	PositiveTail 18	PositiveTail 19	PositiveTail 20	PositiveTail 21
15691521-15691521_1	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15691521-15691521_2	2	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17133391-17133391_1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17133391-17133391_2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17588776-17588776_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17588776-17588776_2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17588776-17588776_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17888411-17888411_1	0	1	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19818382-19818382_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19957268-19957268_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19957268-19957268_2	1	2	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
19957268-19957268_3	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
19957268-19957268_4	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
20385663-20385663_1	1	3	1	0	3	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20385663-20385663_2	1	4	2	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20673804-20673804_1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20673804-20673804_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21041200-21041200_1	1	1	0	1	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0
21195392-21195392_1	2	3	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21195392-21195392_2	2	4	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
21212840-21212840_1	1	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21345342-21345342_1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21686071-21686071_1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21686071-21686071_2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21949675-21949675_1	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21949675-21949675_2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21949675-21949675_3	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22956675-22956675_1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22998631-22998631_1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23144849-23144849_1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23144849-23144849_2	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
23144849-23144849_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23144849-23144849_4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23144849-23144849_5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23825408-23825408_1	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23825408-23825408_2	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23825408-23825408_3	0	4	0	0	2	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23825408-23825408_4	1	2	0	1	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24246489-24246489_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24493847-24493847_1	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24517388-24517388_1	0	2	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24517388-24517388_2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24517388-24517388_3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24646887-24646887_1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24760016-24760016_1	3	2	2	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24782800-24782800_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24782800-24782800_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24782800-24782800_3	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24941136-24941136_1	1	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24993897-24993897_1	1	4	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
24993897-24993897_2	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25433095-25433095_1	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25439326-25439326_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25461265-25461265_1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25617820-25617820_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25631055-25631055_1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25631055-25631055_2	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
25798822-25798822_1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
25798822-25798822_2	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25999363-25999363_1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
26529426-26529426_1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26537018-26537018_1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26537018-26537018_2	1	1	1	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
26537018-26537018_3	2	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26537018-26537018_4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26537018-26537018_6	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26596970-26596970_1	2	2	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
27095057-27095057_1	0	2	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
27095057-27095057_2	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27095057-27095057_3	1	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27336036-27336036_1	0	3	2	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27341851-27341851_1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27510495-27510495_1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27510495-27510495_2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
27998996-27998996_1	2	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27998996-27998996_2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28372994-28372994_1	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
29428771-29428771_1	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29743808-29743808_1	1	2	1	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
29743808-29743808_2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29787789-29787789_1	2	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29787789-29787789_2	2	2	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
31680150-31680150_1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31680150-31680150_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31813987-31813987_1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31813987-31813987_2	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31813987-31813987_3	0	1	0	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
32567667-32567667_1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
