,1_reward_neutral_2020_wbonly,2_drug_neutral_2020_wbonly,3_natural_neutral_2020_wbonly
pooled_cue_reactivity,0.6788420152707763,0.5957176395827082,0.5181413530870687
drug_cue_reactivity,0.6046400838454575,0.6616584913676568,0.3972935337594173
natural_reward_cue_reactivity,0.5368671889732732,0.39422995333050487,0.5196605154558903
all_analyses,0.6716097290555055,0.5661373925595433,0.5167494938339775
all_studies,0.6409732660166236,0.5312228057014253,0.48951779013007535
all_abstract,0.6414875684787189,0.5330141323654336,0.49256998709714833
