run,manual_name,auto_name,dice,pearson_r
v1,1_reward_neutral_2020_wbonly,pooled_cue_reactivity,0.36183566277931095,0.630884605504882
v2,1_reward_neutral_2020_wbonly,pooled_cue_reactivity,0.6327924850555081,0.8014669182107013
v3,1_reward_neutral_2020_wbonly,pooled_cue_reactivity,0.6455296629839383,0.8060852671459787
v4,1_reward_neutral_2020_wbonly,pooled_cue_reactivity,0.6299230457675172,0.7982572740356749
v5,1_reward_neutral_2020_wbonly,pooled_cue_reactivity,0.6357306416187672,0.7912467847619475
v5-annotation-only,1_reward_neutral_2020_wbonly,pooled_cue_reactivity,0.7137840889755132,0.8692484104060915
v5-recent,1_reward_neutral_2020_wbonly,pooled_cue_reactivity,0.6497823149677225,0.7958592205290725
v1,2_drug_neutral_2020_wbonly,drug_cue_reactivity,0.23582071617399664,0.42581632886570653
v2,2_drug_neutral_2020_wbonly,drug_cue_reactivity,0.5529817172393988,0.7533806059190168
v3,2_drug_neutral_2020_wbonly,drug_cue_reactivity,0.6125217627241278,0.7976836326977454
v4,2_drug_neutral_2020_wbonly,drug_cue_reactivity,0.6063362823807683,0.7961281674972925
v5,2_drug_neutral_2020_wbonly,drug_cue_reactivity,0.6190486849468383,0.8089451371345914
v5-annotation-only,2_drug_neutral_2020_wbonly,drug_cue_reactivity,0.6146861983432396,0.805555485505184
v5-recent,2_drug_neutral_2020_wbonly,drug_cue_reactivity,0.6012894468951476,0.8006104557638778
v1,3_natural_neutral_2020_wbonly,natural_reward_cue_reactivity,0.3287972896668549,0.6093897987099953
v2,3_natural_neutral_2020_wbonly,natural_reward_cue_reactivity,0.44543472077367974,0.6434200278620037
v3,3_natural_neutral_2020_wbonly,natural_reward_cue_reactivity,0.47454038756508027,0.6465171527500744
v4,3_natural_neutral_2020_wbonly,natural_reward_cue_reactivity,0.4499756841593351,0.6282640095288234
v5,3_natural_neutral_2020_wbonly,natural_reward_cue_reactivity,0.4935668661578726,0.6156833482185107
v5-annotation-only,3_natural_neutral_2020_wbonly,natural_reward_cue_reactivity,0.715940856906767,0.8556242693630124
v5-recent,3_natural_neutral_2020_wbonly,natural_reward_cue_reactivity,0.5166934413634141,0.6306141659581973
