,"1_reward_neutral_2020_wbonly (N analyses=429, PMIDs=136)","2_drug_neutral_2020_wbonly (N analyses=251, PMIDs=87)","3_natural_neutral_2020_wbonly (N analyses=181, PMIDs=61)"
pooled_cue_reactivity,0.7964772310723697,0.7645379946575925,0.6354211897705181
drug_cue_reactivity,0.7201778520344511,0.7898030686868548,0.48677971018399746
natural_reward_cue_reactivity,0.6526516357322583,0.5241151096184752,0.6286292714168698
all_analyses,0.7939045158251251,0.7625291613340328,0.6345316559772526
all_studies,0.7921708203177013,0.7501565436959515,0.6404559350200183
all_abstract,0.7724331638896283,0.7443373527529684,0.6140677730094686
