manual_name,auto_name,manual_exists,run::v1,run::v2,run::v3,run::v4,run::v5,run::v5-annotation-only,run::v5-recent
1_reward_neutral_2020_wbonly,pooled_cue_reactivity,True,True,True,True,True,True,True,True
2_drug_neutral_2020_wbonly,drug_cue_reactivity,True,True,True,True,True,True,True,True
3_natural_neutral_2020_wbonly,natural_reward_cue_reactivity,True,True,True,True,True,True,True,True
