id	PositiveTail 1	PositiveTail 2	PositiveTail 3	PositiveTail 4	PositiveTail 5	PositiveTail 6	PositiveTail 7	PositiveTail 8
17825801-17825801_1	1	0	0	0	0	0	0	0
19942229-19942229_1	0	0	0	0	0	0	0	0
21418787-21418787_1	1	0	0	0	0	1	0	0
21498053-21498053_1	0	0	1	0	0	0	0	0
22952599-22952599_1	0	0	0	0	0	0	0	0
23021615-23021615_1	0	0	0	0	0	0	0	0
23155380-23155380_1	0	0	0	0	0	0	0	0
26347628-26347628_1	0	0	0	0	0	0	0	0
28549317-28549317_1	1	0	2	0	0	0	0	0
28549317-28549317_2	1	0	2	0	0	0	1	0
29740753-29740753_1	0	0	0	0	0	0	0	0
