project_name,run,n_columns,annotated_r2,annotated_r,all_analyses_r2,all_analyses_r,all_studies_r2,all_studies_r,gain_vs_all_analyses,gain_vs_all_studies
cue_reactivity,v6,3,0.6377213698436973,0.7973167614163991,0.5700862912135475,0.753411581654477,0.5530733921860483,0.7419134504045518,0.06763507863014984,0.08464797765764898
dementia,v3,4,0.4104107931077191,0.6396059883459997,0.3713165778082467,0.6073177795493557,0.3914432311515477,0.623554367612939,0.039094215299472435,0.018967561956171386
vbm_of_ptsd,v1,1,0.6084811798999449,0.7800520366616223,0.3580649811918461,0.5983853116444672,0.29418849358808263,0.5423914578863522,0.2504161987080988,0.31429268631186225
vbm_of_substance_use,v2,6,0.4308630646815268,0.6492688809866353,0.20902463560426532,0.4408917474694172,0.21837316418743494,0.4520276015479028,0.22183842907726148,0.21248990049409186
