project_name,run,manual_column,annotation_column,annotated_r,annotated_r2,all_analyses_r,all_analyses_r2,all_studies_r,all_studies_r2
cue_reactivity,v6,1_reward_neutral_2020_wbonly,pooled_cue_reactivity,0.8256209146678167,0.6816498947369223,0.8229630362280616,0.6772681589977098,0.8101276618329138,0.6563068284668641
cue_reactivity,v6,2_drug_neutral_2020_wbonly,drug_cue_reactivity,0.8322583085496233,0.69265389214988,0.7262428339715765,0.5274286538950669,0.7294131135764508,0.5320434902572923
cue_reactivity,v6,3_natural_neutral_2020_wbonly,natural_reward_cue_reactivity,0.734071061031757,0.5388603226442895,0.7110288747637932,0.5055620607478659,0.6861995758042907,0.4708698578339885
dementia,v3,all,dementia_all,0.6725213905378926,0.45228502073102067,0.6541017463300769,0.4278490945520563,0.6780896817656651,0.459805616517061
dementia,v3,decrease,dementia_decreasing_activity,0.6790650378358487,0.4611293256110026,0.6419776576448215,0.41213531291513167,0.6518447899030108,0.42490163012370025
dementia,v3,functional,functional,0.6038771304859156,0.3646675887239036,0.5264699728561634,0.2771706323191694,0.5415938278321989,0.2933238743459335
dementia,v3,structural,structural,0.6029603945243416,0.36356123736494966,0.606721741366361,0.3681112714466295,0.6226891709508815,0.3877418036194961
vbm_of_ptsd,v1,nonptsdgtptsd_merged,decreased_gm,0.7800520366616223,0.6084811798999449,0.5983853116444672,0.3580649811918461,0.5423914578863522,0.29418849358808263
vbm_of_substance_use,v2,all_drug_classes,all_drug_classes,0.7160432391027809,0.5127179202648022,0.6591823482786072,0.43452136828209903,0.6693283705335213,0.4480004676010588
vbm_of_substance_use,v2,alcohol,alcohol,0.740307950389986,0.5480558614106219,0.4963715381956801,0.2463847039307455,0.5115441813765992,0.261677449500255
vbm_of_substance_use,v2,nicotine,nicotine,0.600449218011341,0.3605392634104309,0.40766522955356743,0.16619093938696283,0.37761234148670986,0.14259108044307559
vbm_of_substance_use,v2,opioids,opioids,0.598377449346613,0.35805557188655834,0.29866676918905816,0.08920183901783015,0.3422869875646592,0.11716038185608915
vbm_of_substance_use,v2,stimulants,stimulants,0.7552542730508187,0.5704090169615206,0.46569368700650304,0.21687061011771083,0.4819520755940745,0.2322778031694365
vbm_of_substance_use,v2,cannabis,cannabis,0.4851811560182719,0.23540075415522668,0.31777091259308726,0.10097835289024351,0.32944165273185266,0.1085318025546946
